waveform;Bridge;T_env;T_cell
t0;01/12/2021  14:30:42,547077;01/12/2021  14:30:43,052214;01/12/2021  14:30:43,052214
delta t;0,000500;0,005000;0,005000

time;Bridge;T_env;T_cell
01/12/2021  14:30:42,547077;9,686339E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,547577;9,669918E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,548077;9,685564E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,548577;9,681183E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,549077;9,673226E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,549577;9,671527E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,550077;9,669858E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,550577;9,676623E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,551077;9,665209E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,551577;9,678650E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,552077;9,676087E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,552577;9,675223E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,553077;9,677905E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,553577;9,680170E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,554077;9,685743E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,554577;9,675282E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,555077;9,675610E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,555577;9,674358E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,556077;9,666371E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,556577;9,675997E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,557077;9,677309E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,557577;9,685773E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,558077;9,672987E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,558577;9,680915E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,559077;9,685475E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,559577;9,682614E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,560077;9,682554E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,560577;9,677458E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,561077;9,676623E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,561577;9,674686E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,562077;9,682256E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,562577;9,675610E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,563077;9,674805E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,563577;9,675044E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,564077;9,676206E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,564577;9,675133E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,565077;9,679425E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,565577;9,675193E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,566077;9,675550E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,566577;9,682286E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,567077;9,673136E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,567577;9,675580E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,568077;9,681660E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,568577;9,665388E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,569077;9,670007E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,569577;9,669322E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,570077;9,667742E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,570577;9,677994E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,571077;9,683985E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,571577;9,672421E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,572077;9,669053E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,572577;9,677130E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,573077;9,677547E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,573577;9,679484E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,574077;9,669649E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,574577;9,679216E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,575077;9,672510E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,575577;9,676951E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,576077;9,680557E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,576577;9,675938E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,577077;9,676534E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,577577;9,672570E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,578077;9,672570E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,578577;9,673285E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,579077;9,679127E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,579577;9,675789E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,580077;9,679097E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,580577;9,670961E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,581077;9,672928E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,581577;9,680021E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,582077;9,675521E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,582577;9,672272E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,583077;9,683687E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,583577;9,684253E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,584077;9,670812E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,584577;9,669500E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,585077;9,675819E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,585577;9,685415E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,586077;9,673554E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,586577;9,670752E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,587077;9,675014E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,587577;9,683538E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,588077;9,679544E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,588577;9,674448E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,589077;9,671438E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,589577;9,676117E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,590077;9,674954E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,590577;9,680259E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,591077;9,671706E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,591577;9,675610E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,592077;9,687650E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,592577;9,671378E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,593077;9,679812E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,593577;9,670782E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,594077;9,671020E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,594577;9,676564E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,595077;9,678948E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,595577;9,682852E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,596077;9,674477E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,596577;9,681690E-4;1,077504E+2;1,082492E+2
01/12/2021  14:30:42,597077;9,669262E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,597577;9,670216E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,598077;9,672809E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,598577;9,674388E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,599077;9,674001E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,599577;9,679991E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,600077;9,675223E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,600577;9,682971E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,601077;9,661930E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,601577;9,673941E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,602077;9,668189E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,602577;9,667086E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,603077;9,681124E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,603577;9,669769E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,604077;9,671736E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,604577;9,677488E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,605077;9,678978E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,605577;9,672481E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,606077;9,674835E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,606577;9,673315E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,607077;9,680021E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,607577;9,681422E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,608077;9,668278E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,608577;9,686548E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,609077;9,675610E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,609577;9,665358E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,610077;9,676921E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,610577;9,691316E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,611077;9,676951E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,611577;9,675729E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,612077;9,667772E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,612577;9,671974E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,613077;9,670931E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,613577;9,672600E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,614077;9,670126E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,614577;9,680378E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,615077;9,680647E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,615577;9,672987E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,616077;9,677339E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,616577;9,675968E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,617077;9,673524E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,617577;9,681988E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,618077;9,671318E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,618577;9,667057E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,619077;9,670722E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,619577;9,670216E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,620077;9,677756E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,620577;9,675819E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,621077;9,681928E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,621577;9,680468E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,622077;9,671199E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,622577;9,675461E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,623077;9,674418E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,623577;9,670991E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,624077;9,671646E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,624577;9,673673E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,625077;9,677398E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,625577;9,674179E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,626077;9,682137E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,626577;9,675759E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,627077;9,667951E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,627577;9,673107E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,628077;9,678739E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,628577;9,673554E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,629077;9,672660E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,629577;9,671944E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,630077;9,671289E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,630577;9,668398E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,631077;9,679753E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,631577;9,673196E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,632077;9,666759E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,632577;9,667146E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,633077;9,675103E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,633577;9,676295E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,634077;9,673703E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,634577;9,674150E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,635077;9,673732E-4;1,077520E+2;1,082489E+2
01/12/2021  14:30:42,635577;9,668338E-4;1,077520E+2;1,082489E+2
