waveform;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
t0;02/12/2021  11:45:18,694466;02/12/2021  11:45:18,694466;02/12/2021  11:45:18,694466;02/12/2021  11:45:18,694466;02/12/2021  11:45:14,771785;02/12/2021  11:45:14,771785
delta t;0,000100;0,000100;0,000100;0,000100;0,512821;0,512821

time;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
02/12/2021  11:45:18,694466;9,343068E-1;1,063466E-1;8,771802E-2;2,723177E-5;1,082893E+2;1,087602E+2
02/12/2021  11:45:18,694566;9,344290E-1;1,120810E-1;1,231024E-1;1,872045E-4;;
02/12/2021  11:45:18,694666;9,337584E-1;1,178155E-1;1,221546E-1;6,536456E-4;;
02/12/2021  11:45:18,694766;9,329210E-1;1,238685E-1;1,243661E-1;1,604577E-3;;
02/12/2021  11:45:18,694866;9,334425E-1;1,251428E-1;1,268936E-1;3,193121E-3;;
02/12/2021  11:45:18,694966;9,341787E-1;1,318330E-1;1,174156E-1;5,549263E-3;;
02/12/2021  11:45:18,695066;9,341518E-1;1,178155E-1;1,278414E-1;8,781567E-3;;
02/12/2021  11:45:18,695166;9,334753E-1;1,324701E-1;1,313166E-1;1,297868E-2;;
02/12/2021  11:45:18,695266;9,338359E-1;1,190898E-1;1,259458E-1;1,821072E-2;;
02/12/2021  11:45:18,695366;9,346674E-1;1,260985E-1;1,335282E-1;2,453075E-2;;
02/12/2021  11:45:18,695466;9,352784E-1;1,595494E-1;2,042969E-1;3,197623E-2;;
02/12/2021  11:45:18,695566;9,352575E-1;1,512664E-1;2,017695E-1;4,057041E-2;;
02/12/2021  11:45:18,695666;9,340684E-1;1,264171E-1;1,376353E-1;5,032342E-2;;
02/12/2021  11:45:18,695766;9,328584E-1;1,245056E-1;1,284732E-1;6,123332E-2;;
02/12/2021  11:45:18,695866;9,334306E-1;1,267357E-1;1,316326E-1;7,328724E-2;;
02/12/2021  11:45:18,695966;9,344320E-1;1,302401E-1;1,392149E-1;8,646260E-2;;
02/12/2021  11:45:18,696066;9,333680E-1;1,292843E-1;1,256299E-1;1,007283E-1;;
02/12/2021  11:45:18,696166;9,324113E-1;1,210013E-1;1,300529E-1;1,160455E-1;;
02/12/2021  11:45:18,696266;9,320388E-1;1,257800E-1;1,208909E-1;1,323688E-1;;
02/12/2021  11:45:18,696366;9,329269E-1;1,331073E-1;1,237343E-1;1,496466E-1;;
02/12/2021  11:45:18,696466;9,331803E-1;1,200455E-1;1,287892E-1;1,678225E-1;;
02/12/2021  11:45:18,696566;9,330521E-1;1,311958E-1;1,281573E-1;1,868362E-1;;
02/12/2021  11:45:18,696666;9,322295E-1;1,229127E-1;1,253139E-1;2,066238E-1;;
02/12/2021  11:45:18,696766;9,318481E-1;9,455912E-2;1,344760E-1;2,271188E-1;;
02/12/2021  11:45:18,696866;9,321223E-1;1,143111E-1;1,455336E-1;2,482522E-1;;
02/12/2021  11:45:18,696966;9,322981E-1;1,241871E-1;1,310007E-1;2,699537E-1;;
02/12/2021  11:45:18,697066;9,322236E-1;1,391603E-1;1,373193E-1;2,921523E-1;;
02/12/2021  11:45:18,697166;9,315411E-1;1,194084E-1;1,177316E-1;3,147763E-1;;
02/12/2021  11:45:18,697266;9,316841E-1;1,503106E-1;1,606983E-1;3,377541E-1;;
02/12/2021  11:45:18,697366;9,319434E-1;1,302401E-1;1,363715E-1;3,610146E-1;;
02/12/2021  11:45:18,697466;9,314994E-1;1,331073E-1;1,313166E-1;3,844877E-1;;
02/12/2021  11:45:18,697566;9,308020E-1;1,299215E-1;1,287892E-1;4,081044E-1;;
02/12/2021  11:45:18,697666;9,291092E-1;9,901924E-2;1,676488E-1;4,317972E-1;;
02/12/2021  11:45:18,697766;9,283641E-1;1,267357E-1;1,174156E-1;4,555001E-1;;
02/12/2021  11:45:18,697866;9,287843E-1;1,439390E-1;1,385831E-1;4,791494E-1;;
02/12/2021  11:45:18,697966;9,283552E-1;1,257800E-1;1,167838E-1;5,026835E-1;;
02/12/2021  11:45:18,698066;9,275594E-1;1,241871E-1;1,322644E-1;5,260433E-1;;
02/12/2021  11:45:18,698166;9,271124E-1;1,343816E-1;1,388990E-1;5,491725E-1;;
02/12/2021  11:45:18,698266;9,274164E-1;1,401161E-1;1,509044E-1;5,720178E-1;;
02/12/2021  11:45:18,698366;9,278217E-1;1,340630E-1;1,417424E-1;5,945285E-1;;
02/12/2021  11:45:18,698466;9,278157E-1;1,241871E-1;1,237343E-1;6,166576E-1;;
02/12/2021  11:45:18,698566;9,278843E-1;1,372488E-1;1,313166E-1;6,383610E-1;;
02/12/2021  11:45:18,698666;9,268799E-1;1,229127E-1;9,940750E-2;6,595979E-1;;
02/12/2021  11:45:18,698766;9,282210E-1;1,448948E-1;1,388990E-1;6,803309E-1;;
02/12/2021  11:45:18,698866;9,290674E-1;1,436204E-1;1,597505E-1;7,005258E-1;;
02/12/2021  11:45:18,698966;9,289900E-1;1,327887E-1;1,259458E-1;7,201516E-1;;
02/12/2021  11:45:18,699066;9,289423E-1;1,404346E-1;1,338441E-1;7,391812E-1;;
02/12/2021  11:45:18,699166;9,294340E-1;9,710776E-2;1,035146E-1;7,575900E-1;;
02/12/2021  11:45:18,699266;9,303818E-1;1,283286E-1;1,114129E-1;7,753571E-1;;
02/12/2021  11:45:18,699366;9,310285E-1;1,353374E-1;1,212068E-1;7,924645E-1;;
02/12/2021  11:45:18,699466;9,312818E-1;1,260985E-1;1,155200E-1;8,088975E-1;;
02/12/2021  11:45:18,699566;9,308318E-1;1,458505E-1;1,856569E-1;8,246441E-1;;
02/12/2021  11:45:18,699666;9,301135E-1;1,225942E-1;1,272095E-1;8,396952E-1;;
02/12/2021  11:45:18,699766;9,308079E-1;1,114439E-1;1,069899E-1;8,540442E-1;;
02/12/2021  11:45:18,699866;9,312729E-1;9,647060E-2;1,625939E-1;8,676871E-1;;
02/12/2021  11:45:18,699966;9,314785E-1;8,340882E-2;8,929768E-2;8,806224E-1;;
02/12/2021  11:45:18,700066;9,316007E-1;1,149482E-1;1,231024E-1;8,928510E-1;;
02/12/2021  11:45:18,700166;9,306828E-1;1,159040E-1;1,189953E-1;9,043762E-1;;
02/12/2021  11:45:18,700266;9,323279E-1;1,159040E-1;1,262617E-1;9,152030E-1;;
02/12/2021  11:45:18,700366;9,326080E-1;1,155854E-1;1,306848E-1;9,253388E-1;;
02/12/2021  11:45:18,700466;9,321938E-1;1,232313E-1;1,202590E-1;9,347927E-1;;
02/12/2021  11:45:18,700566;9,321282E-1;1,085766E-1;1,060421E-1;9,435757E-1;;
02/12/2021  11:45:18,700666;9,318302E-1;9,264764E-2;1,180475E-1;9,517002E-1;;
02/12/2021  11:45:18,700766;9,326080E-1;1,152668E-1;1,249980E-1;9,591800E-1;;
02/12/2021  11:45:18,700866;9,329180E-1;1,006121E-1;1,085695E-1;9,660304E-1;;
02/12/2021  11:45:18,700966;9,332548E-1;1,085766E-1;1,180475E-1;9,722680E-1;;
02/12/2021  11:45:18,701066;9,328882E-1;9,933782E-2;1,003553E-1;9,779104E-1;;
02/12/2021  11:45:18,701166;9,334843E-1;1,041165E-1;1,240502E-1;9,829763E-1;;
02/12/2021  11:45:18,701266;9,351085E-1;1,235499E-1;1,581709E-1;9,874852E-1;;
02/12/2021  11:45:18,701366;9,354960E-1;1,210013E-1;1,366875E-1;9,914575E-1;;
02/12/2021  11:45:18,701466;9,361010E-1;1,251428E-1;1,442698E-1;9,949145E-1;;
02/12/2021  11:45:18,701566;9,359162E-1;1,251428E-1;1,316326E-1;9,978780E-1;;
02/12/2021  11:45:18,701666;9,364556E-1;1,299215E-1;1,417424E-1;1,000370E+0;;
02/12/2021  11:45:18,701766;9,378325E-1;1,490363E-1;1,164678E-1;1,002414E+0;;
02/12/2021  11:45:18,701866;9,388041E-1;1,687883E-1;1,467973E-1;1,004031E+0;;
02/12/2021  11:45:18,701966;9,394657E-1;1,783457E-1;1,597505E-1;1,005246E+0;;
02/12/2021  11:45:18,702066;9,391289E-1;1,706997E-1;1,426902E-1;1,006082E+0;;
02/12/2021  11:45:18,702166;9,402823E-1;1,684697E-1;1,540637E-1;1,006561E+0;;
02/12/2021  11:45:18,702266;9,413820E-1;1,757970E-1;1,739675E-1;1,006706E+0;;
02/12/2021  11:45:18,702366;9,427262E-1;1,461691E-1;1,401627E-1;1,006542E+0;;
02/12/2021  11:45:18,702466;9,431911E-1;1,433019E-1;1,234183E-1;1,006090E+0;;
02/12/2021  11:45:18,702566;9,428245E-1;1,165411E-1;1,461654E-1;1,005372E+0;;
02/12/2021  11:45:18,702666;9,433371E-1;1,544522E-1;1,543797E-1;1,004412E+0;;
02/12/2021  11:45:18,702766;9,448452E-1;1,108067E-1;1,038306E-1;1,003230E+0;;
02/12/2021  11:45:18,702866;9,458942E-1;1,200455E-1;1,224705E-1;1,001848E+0;;
02/12/2021  11:45:18,702966;9,461267E-1;1,146297E-1;1,098333E-1;1,000286E+0;;
02/12/2021  11:45:18,703066;9,469105E-1;1,423461E-1;1,436380E-1;9,985635E-1;;
02/12/2021  11:45:18,703166;9,484722E-1;1,276914E-1;1,202590E-1;9,967006E-1;;
02/12/2021  11:45:18,703266;9,505882E-1;1,063466E-1;7,318515E-2;9,947159E-1;;
02/12/2021  11:45:18,703366;9,509041E-1;1,302401E-1;1,287892E-1;9,926277E-1;;
02/12/2021  11:45:18,703466;9,512707E-1;1,276914E-1;1,341600E-1;9,904538E-1;;
02/12/2021  11:45:18,703566;9,508385E-1;1,429833E-1;1,404787E-1;9,882108E-1;;
02/12/2021  11:45:18,703666;9,516641E-1;1,165411E-1;1,060421E-1;9,859147E-1;;
