waveform	Bridge	FTC1	FTC2	Bridge (Filtered)	T_env	T_cell
t0	20/12/2021  12:17:13,232386	20/12/2021  12:17:13,232386	20/12/2021  12:17:13,232386	20/12/2021  12:17:13,232386	20/12/2021  12:17:11,772858	20/12/2021  12:17:11,772858
delta t	0,000100	0,000100	0,000100	0,000100	0,512821	0,512821

time	Bridge	FTC1	FTC2	Bridge (Filtered)	T_env	T_cell
20/12/2021  12:17:13,232386	9,193248E-4	1,280100E-1	1,328963E-1	2,679510E-8	1,080850E+2	1,086758E+2
20/12/2021  12:17:13,232486	9,202219E-4	1,372488E-1	1,265777E-1	1,842252E-7		
20/12/2021  12:17:13,232586	9,210713E-4	1,114439E-1	1,016190E-1	6,433638E-7		
20/12/2021  12:17:13,232686	9,226687E-4	1,652839E-1	1,960827E-1	1,579763E-6		
20/12/2021  12:17:13,232786	9,236463E-4	1,280100E-1	1,341600E-1	3,144807E-6		
20/12/2021  12:17:13,232886	9,245016E-4	1,225942E-1	1,158360E-1	5,467317E-6		
20/12/2021  12:17:13,232986	9,255805E-4	1,362931E-1	1,344760E-1	8,655067E-6		
20/12/2021  12:17:13,233086	9,262958E-4	1,267357E-1	1,294210E-1	1,279626E-5		
20/12/2021  12:17:13,233186	9,274670E-4	1,337445E-1	1,458495E-1	1,796096E-5		
20/12/2021  12:17:13,233286	9,286264E-4	1,445762E-1	1,682807E-1	2,420251E-5		
20/12/2021  12:17:13,233386	9,302834E-4	1,280100E-1	1,177316E-1	3,155893E-5		
20/12/2021  12:17:13,233486	9,313325E-4	1,264171E-1	1,398468E-1	4,005416E-5		
20/12/2021  12:17:13,233586	9,317944E-4	1,452133E-1	1,420583E-1	4,969933E-5		
20/12/2021  12:17:13,233686	9,334902E-4	1,404346E-1	1,461654E-1	6,049383E-5		
20/12/2021  12:17:13,233786	9,338538E-4	1,439390E-1	1,189953E-1	7,242644E-5		
20/12/2021  12:17:13,233886	9,340535E-4	1,305587E-1	1,287892E-1	8,547638E-5		
20/12/2021  12:17:13,233986	9,345721E-4	1,229127E-1	1,268936E-1	9,961421E-5		
20/12/2021  12:17:13,234086	9,351175E-4	1,136739E-1	1,253139E-1	1,148028E-4		
20/12/2021  12:17:13,234186	9,367596E-4	1,525407E-1	1,727037E-1	1,309985E-4		
20/12/2021  12:17:13,234286	9,371202E-4	1,260985E-1	1,268936E-1	1,481516E-4		
20/12/2021  12:17:13,234386	9,376507E-4	3,594040E-2	8,582243E-2	1,662078E-4		
20/12/2021  12:17:13,234486	9,385746E-4	1,254614E-1	1,319485E-1	1,851083E-4		
20/12/2021  12:17:13,234586	9,391289E-4	1,519035E-1	1,534319E-1	2,047909E-4		
20/12/2021  12:17:13,234686	9,393107E-4	1,251428E-1	1,297370E-1	2,251907E-4		
20/12/2021  12:17:13,234786	9,407472E-4	1,245056E-1	1,202590E-1	2,462406E-4		
20/12/2021  12:17:13,234886	9,430391E-4	1,391603E-1	1,385831E-1	2,678718E-4		
20/12/2021  12:17:13,234986	9,443921E-4	1,397975E-1	1,449017E-1	2,900148E-4		
20/12/2021  12:17:13,235086	9,460164E-4	1,375674E-1	1,373193E-1	3,126000E-4		
20/12/2021  12:17:13,235186	9,468688E-4	4,400978E-3	7,471291E-3	3,355576E-4		
20/12/2021  12:17:13,235286	9,477718E-4	3,126658E-3	4,943835E-3	3,588184E-4		
20/12/2021  12:17:13,235386	9,489609E-4	7,586778E-3	9,366883E-3	3,823140E-4		
20/12/2021  12:17:13,235486	9,496673E-4	9,498258E-3	1,189434E-2	4,059770E-4		
20/12/2021  12:17:13,235586	9,507461E-4	1,533758E-3	3,996039E-3	4,297415E-4		
20/12/2021  12:17:13,235686	9,510650E-4	2,808078E-3	4,627903E-3	4,535434E-4		
20/12/2021  12:17:13,235786	9,517624E-4	5,356718E-3	7,471291E-3	4,773203E-4		
20/12/2021  12:17:13,235886	9,523794E-4	5,675298E-3	7,471291E-3	5,010121E-4		
20/12/2021  12:17:13,235986	9,529426E-4	2,489498E-3	4,311971E-3	5,245611E-4		
20/12/2021  12:17:13,236086	9,535745E-4	2,808078E-3	5,259767E-3	5,479118E-4		
20/12/2021  12:17:13,236186	9,534254E-4	2,808078E-3	5,259767E-3	5,710118E-4		
20/12/2021  12:17:13,236286	9,543911E-4	7,905358E-3	9,682815E-3	5,938110E-4		
20/12/2021  12:17:13,236386	9,557143E-4	1,533758E-3	3,680107E-3	6,162626E-4		
20/12/2021  12:17:13,236486	9,572462E-4	1,852338E-3	3,996039E-3	6,383226E-4		
20/12/2021  12:17:13,236586	9,582327E-4	3,126658E-3	4,627903E-3	6,599504E-4		
20/12/2021  12:17:13,236686	9,591774E-4	7,586778E-3	9,366883E-3	6,811084E-4		
20/12/2021  12:17:13,236786	9,595380E-4	1,215178E-3	3,364175E-3	7,017624E-4		
20/12/2021  12:17:13,236886	9,605722E-4	1,215178E-3	3,680107E-3	7,218811E-4		
20/12/2021  12:17:13,236986	9,605364E-4	8,965980E-4	3,364175E-3	7,414363E-4		
20/12/2021  12:17:13,237086	9,609388E-4	3,126658E-3	4,311971E-3	7,604029E-4		
20/12/2021  12:17:13,237186	9,618835E-4	1,215178E-3	3,364175E-3	7,787585E-4		
20/12/2021  12:17:13,237286	9,611563E-4	1,533758E-3	3,680107E-3	7,964839E-4		
