waveform;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
t0;20/12/2021  12:17:27,436218;20/12/2021  12:17:27,436218;20/12/2021  12:17:27,436218;20/12/2021  12:17:27,436218;20/12/2021  12:17:26,240154;20/12/2021  12:17:26,240154
delta t;0,000100;0,000100;0,000100;0,000100;0,512821;0,512821

time;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
20/12/2021  12:17:27,436218;9,389561E-4;8,882468E-2;7,634447E-2;2,736728E-8;1,081249E+2;1,086746E+2
20/12/2021  12:17:27,436318;9,394776E-4;1,573194E-1;1,385831E-1;1,881476E-7;;
20/12/2021  12:17:27,436418;9,398979E-4;1,554079E-1;1,821817E-1;6,570100E-7;;
20/12/2021  12:17:27,436518;9,400350E-4;1,162226E-1;1,123607E-1;1,613088E-6;;
20/12/2021  12:17:27,436618;9,402346E-4;1,347002E-1;1,357397E-1;3,210647E-6;;
20/12/2021  12:17:27,436718;9,406191E-4;1,251428E-1;1,272095E-1;5,580729E-6;;
20/12/2021  12:17:27,436818;9,406966E-4;1,117624E-1;1,291051E-1;8,832760E-6;;
20/12/2021  12:17:27,436918;9,402167E-4;1,404346E-1;1,205749E-1;1,305608E-5;;
20/12/2021  12:17:27,437018;9,411198E-4;3,307318E-2;6,523495E-3;1,832139E-5;;
20/12/2021  12:17:27,437118;9,400707E-4;1,241871E-1;1,404787E-1;2,468223E-5;;
20/12/2021  12:17:27,437218;9,398204E-4;1,267357E-1;1,395309E-1;3,217628E-5;;
20/12/2021  12:17:27,437318;9,384733E-4;1,331073E-1;1,338441E-1;4,082663E-5;;
20/12/2021  12:17:27,437418;9,375196E-4;1,337445E-1;1,325804E-1;5,064298E-5;;
20/12/2021  12:17:27,437518;9,370964E-4;6,588692E-2;1,167838E-1;6,162286E-5;;
20/12/2021  12:17:27,437618;9,362231E-4;1,178155E-1;1,227865E-1;7,375286E-5;;
20/12/2021  12:17:27,437718;9,362261E-4;1,337445E-1;1,752312E-1;8,700977E-5;;
20/12/2021  12:17:27,437818;9,355466E-4;1,260985E-1;1,300529E-1;1,013617E-4;;
20/12/2021  12:17:27,437918;9,356211E-4;1,104881E-1;1,167838E-1;1,167691E-4;;
20/12/2021  12:17:27,438018;9,347747E-4;1,302401E-1;1,376353E-1;1,331857E-4;;
20/12/2021  12:17:27,438118;9,347330E-4;1,359745E-1;1,483770E-1;1,505594E-4;;
20/12/2021  12:17:27,438218;9,345095E-4;1,359745E-1;1,338441E-1;1,688332E-4;;
20/12/2021  12:17:27,438318;9,343485E-4;1,219570E-1;1,170997E-1;1,879458E-4;;
20/12/2021  12:17:27,438418;9,347747E-4;1,289658E-1;1,268936E-1;2,078327E-4;;
20/12/2021  12:17:27,438518;9,340326E-4;9,965640E-2;9,751191E-2;2,284267E-4;;
20/12/2021  12:17:27,438618;9,342025E-4;1,318330E-1;1,303688E-1;2,496584E-4;;
20/12/2021  12:17:27,438718;9,336720E-4;1,104881E-1;1,044624E-1;2,714571E-4;;
20/12/2021  12:17:27,438818;9,330372E-4;9,328480E-2;8,992954E-2;2,937510E-4;;
20/12/2021  12:17:27,438918;9,328733E-4;1,742041E-1;1,619620E-1;3,164681E-4;;
20/12/2021  12:17:27,439018;9,330104E-4;1,315144E-1;1,268936E-1;3,395361E-4;;
20/12/2021  12:17:27,439118;9,331892E-4;1,452133E-1;1,515363E-1;3,628836E-4;;
20/12/2021  12:17:27,439218;9,339849E-4;7,385142E-2;7,255328E-2;3,864399E-4;;
20/12/2021  12:17:27,439318;9,341250E-4;1,276914E-1;1,370034E-1;4,101361E-4;;
20/12/2021  12:17:27,439418;9,344230E-4;1,123996E-1;1,328963E-1;4,339046E-4;;
20/12/2021  12:17:27,439518;9,347479E-4;1,229127E-1;8,645429E-2;4,576800E-4;;
20/12/2021  12:17:27,439618;9,348075E-4;1,012493E-1;1,000394E-1;4,813991E-4;;
20/12/2021  12:17:27,439718;9,349088E-4;1,232313E-1;1,212068E-1;5,050010E-4;;
20/12/2021  12:17:27,439818;9,355109E-4;1,350188E-1;1,310007E-1;5,284274E-4;;
20/12/2021  12:17:27,439918;9,356181E-4;1,225942E-1;1,215227E-1;5,516228E-4;;
20/12/2021  12:17:27,440018;9,360354E-4;1,219570E-1;1,237343E-1;5,745347E-4;;
20/12/2021  12:17:27,440118;9,365420E-4;9,519628E-2;1,133085E-1;5,971134E-4;;
20/12/2021  12:17:27,440218;9,364258E-4;1,181340E-1;1,148882E-1;6,193124E-4;;
20/12/2021  12:17:27,440318;9,354960E-4;1,241871E-1;1,120448E-1;6,410884E-4;;
20/12/2021  12:17:27,440418;9,353648E-4;9,105474E-2;8,645429E-2;6,624011E-4;;
20/12/2021  12:17:27,440518;9,355436E-4;1,190898E-1;1,145722E-1;6,832133E-4;;
20/12/2021  12:17:27,440618;9,355258E-4;1,082581E-1;1,038306E-1;7,034908E-4;;
20/12/2021  12:17:27,440718;9,358208E-4;1,101695E-1;1,092014E-1;7,232029E-4;;
20/12/2021  12:17:27,440818;9,364288E-4;1,241871E-1;1,227865E-1;7,423219E-4;;
20/12/2021  12:17:27,440918;9,374242E-4;1,139925E-1;1,158360E-1;7,608235E-4;;
20/12/2021  12:17:27,441018;9,381872E-4;4,103768E-2;3,685297E-2;7,786866E-4;;
20/12/2021  12:17:27,441118;9,386998E-4;1,225942E-1;1,240502E-1;7,958931E-4;;
20/12/2021  12:17:27,441218;9,389352E-4;1,136739E-1;1,088855E-1;8,124282E-4;;
20/12/2021  12:17:27,441318;9,400975E-4;1,241871E-1;1,268936E-1;8,282799E-4;;
20/12/2021  12:17:27,441418;9,407770E-4;1,114439E-1;1,041465E-1;8,434392E-4;;
20/12/2021  12:17:27,441518;9,417546E-4;1,130368E-1;1,177316E-1;8,578996E-4;;
20/12/2021  12:17:27,441618;9,425354E-4;2,808078E-3;1,884484E-2;8,716576E-4;;
20/12/2021  12:17:27,441718;9,426964E-4;9,678918E-2;1,218387E-1;8,847121E-4;;
20/12/2021  12:17:27,441818;9,430331E-4;1,152668E-1;1,259458E-1;8,970644E-4;;
20/12/2021  12:17:27,441918;9,423059E-4;1,327887E-1;1,278414E-1;9,087177E-4;;
20/12/2021  12:17:27,442018;9,422434E-4;1,506292E-1;1,439539E-1;9,196774E-4;;
20/12/2021  12:17:27,442118;9,419751E-4;8,404598E-2;7,950379E-2;9,299508E-4;;
20/12/2021  12:17:27,442218;9,423477E-4;1,280100E-1;1,284732E-1;9,395467E-4;;
20/12/2021  12:17:27,442318;9,432239E-4;1,155854E-1;1,205749E-1;9,484756E-4;;
20/12/2021  12:17:27,442418;9,430570E-4;1,123996E-1;1,215227E-1;9,567498E-4;;
20/12/2021  12:17:27,442518;9,437663E-4;9,105474E-2;8,108345E-2;9,643831E-4;;
20/12/2021  12:17:27,442618;9,437633E-4;1,063466E-1;9,877564E-2;9,713904E-4;;
20/12/2021  12:17:27,442718;9,440673E-4;1,092138E-1;1,085695E-1;9,777881E-4;;
20/12/2021  12:17:27,442818;9,442282E-4;9,455912E-2;9,624818E-2;9,835936E-4;;
20/12/2021  12:17:27,442918;9,446216E-4;1,044351E-1;1,366875E-1;9,888252E-4;;
20/12/2021  12:17:27,443018;9,444607E-4;9,901924E-2;1,148882E-1;9,935021E-4;;
20/12/2021  12:17:27,443118;9,449644E-4;9,041758E-2;1,101492E-1;9,976443E-4;;
20/12/2021  12:17:27,443218;9,453607E-4;9,009900E-2;9,372073E-2;1,001272E-3;;
20/12/2021  12:17:27,443318;9,450180E-4;9,487770E-2;1,129926E-1;1,004407E-3;;
20/12/2021  12:17:27,443418;9,436411E-4;1,305587E-1;1,379512E-1;1,007071E-3;;
20/12/2021  12:17:27,443518;9,432537E-4;1,375674E-1;1,376353E-1;1,009284E-3;;
20/12/2021  12:17:27,443618;9,428007E-4;1,547707E-1;1,366875E-1;1,011070E-3;;
20/12/2021  12:17:27,443718;9,422612E-4;1,764342E-1;1,483770E-1;1,012448E-3;;
20/12/2021  12:17:27,443818;9,418768E-4;1,898145E-1;1,739675E-1;1,013442E-3;;
20/12/2021  12:17:27,443918;9,418201E-4;1,426647E-1;1,417424E-1;1,014072E-3;;
20/12/2021  12:17:27,444018;9,420496E-4;1,213198E-1;1,224705E-1;1,014361E-3;;
20/12/2021  12:17:27,444118;9,414685E-4;1,292843E-1;1,449017E-1;1,014328E-3;;
20/12/2021  12:17:27,444218;9,413791E-4;1,423461E-1;1,477451E-1;1,013997E-3;;
20/12/2021  12:17:27,444318;9,412986E-4;1,229127E-1;1,281573E-1;1,013387E-3;;
20/12/2021  12:17:27,444418;9,414536E-4;1,216384E-1;1,231024E-1;1,012519E-3;;
20/12/2021  12:17:27,444518;9,411079E-4;7,958586E-2;9,214107E-2;1,011413E-3;;
20/12/2021  12:17:27,444618;9,406668E-4;1,197269E-1;1,186794E-1;1,010090E-3;;
20/12/2021  12:17:27,444718;9,409469E-4;1,260985E-1;9,972343E-2;1,008568E-3;;
20/12/2021  12:17:27,444818;9,406101E-4;1,251428E-1;1,347919E-1;1,006865E-3;;
20/12/2021  12:17:27,444918;9,398293E-4;1,200455E-1;1,287892E-1;1,005002E-3;;
20/12/2021  12:17:27,445018;9,399157E-4;1,095324E-1;1,183634E-1;1,002994E-3;;
20/12/2021  12:17:27,445118;9,387415E-4;1,343816E-1;1,338441E-1;1,000859E-3;;
20/12/2021  12:17:27,445218;9,386789E-4;1,362931E-1;1,594346E-1;9,986134E-4;;
20/12/2021  12:17:27,445318;9,381752E-4;1,232313E-1;1,253139E-1;9,962724E-4;;
20/12/2021  12:17:27,445418;9,383839E-4;1,442576E-1;1,673329E-1;9,938510E-4;;
20/12/2021  12:17:27,445518;9,383004E-4;1,445762E-1;1,411105E-1;9,913634E-4;;
20/12/2021  12:17:27,445618;9,389322E-4;1,296029E-1;1,265777E-1;9,888232E-4;;
20/12/2021  12:17:27,445718;9,393763E-4;1,417090E-1;1,382671E-1;9,862436E-4;;
20/12/2021  12:17:27,445818;9,392154E-4;1,375674E-1;1,505885E-1;9,836369E-4;;
20/12/2021  12:17:27,445918;9,392064E-4;1,315144E-1;1,338441E-1;9,810152E-4;;
20/12/2021  12:17:27,446018;9,387981E-4;1,053908E-1;8,550650E-2;9,783895E-4;;
20/12/2021  12:17:27,446118;9,387981E-4;1,267357E-1;1,328963E-1;9,757703E-4;;
20/12/2021  12:17:27,446218;9,394061E-4;1,225942E-1;1,073058E-1;9,731675E-4;;
20/12/2021  12:17:27,446318;9,391170E-4;1,362931E-1;1,426902E-1;9,705900E-4;;
20/12/2021  12:17:27,446418;9,385031E-4;1,474434E-1;1,155200E-1;9,680464E-4;;
20/12/2021  12:17:27,446518;9,385329E-4;1,184526E-1;1,272095E-1;9,655445E-4;;
