waveform	Bridge	FTC1	FTC2	Bridge (Filtered)
t0	19/11/2021  10:57:31,077956	19/11/2021  10:57:31,077956	19/11/2021  10:57:31,077956	19/11/2021  10:57:31,077956
delta t	0,000620	0,000620	0,000620	0,000620

time	Bridge	FTC1	FTC2	Bridge (Filtered)
19/11/2021  10:57:31,077956	9,575710E-1	4,740928E-2	7,887192E-2	4,967473E-3
19/11/2021  10:57:31,078576	9,546772E-1	8,818752E-2	6,970989E-2	3,090924E-2
19/11/2021  10:57:31,079196	9,515419E-1	1,605052E-1	1,588027E-1	9,491934E-2
19/11/2021  10:57:31,079816	9,470297E-1	2,245398E-1	2,030332E-1	1,997761E-1
19/11/2021  10:57:31,080436	9,377759E-1	1,308772E-1	1,275255E-1	3,344689E-1
19/11/2021  10:57:31,081056	9,319434E-1	1,509478E-1	1,486929E-1	4,824639E-1
19/11/2021  10:57:31,081676	9,265670E-1	1,353374E-1	1,366875E-1	6,272639E-1
19/11/2021  10:57:31,082296	9,215929E-1	4,082398E-3	5,891631E-3	7,556866E-1
19/11/2021  10:57:31,082916	9,175694E-1	3,763818E-3	5,575699E-3	8,592785E-1
19/11/2021  10:57:31,083536	9,096806E-1	3,445238E-3	4,943835E-3	9,343809E-1
19/11/2021  10:57:31,084156	9,095793E-1	1,852338E-3	4,311971E-3	9,813976E-1
19/11/2021  10:57:31,084776	9,111648E-1	1,215178E-3	2,732311E-3	1,003750E+0
19/11/2021  10:57:31,085396	9,119665E-1	2,170918E-3	4,943835E-3	1,006735E+0
19/11/2021  10:57:31,086016	9,115075E-1	3,976336E-2	8,740209E-2	9,963531E-1
19/11/2021  10:57:31,086636	9,129559E-1	3,721472E-2	4,222381E-2	9,783303E-1
19/11/2021  10:57:31,087256	9,146875E-1	2,360086E-1	2,030332E-1	9,575053E-1
19/11/2021  10:57:31,087876	9,182311E-1	8,978042E-2	7,476481E-2	9,375477E-1
19/11/2021  10:57:31,088496	9,251066E-1	1,337445E-1	1,351078E-1	9,209219E-1
19/11/2021  10:57:31,089116	9,292910E-1	1,366117E-1	1,291051E-1	9,090038E-1
19/11/2021  10:57:31,089736	9,318302E-1	1,719741E-1	1,603824E-1	9,022269E-1
19/11/2021  10:57:31,090356	9,365838E-1	1,359745E-1	1,265777E-1	9,002606E-1
19/11/2021  10:57:31,090976	9,444220E-1	1,773899E-1	2,039810E-1	9,022994E-1
19/11/2021  10:57:31,091596	9,490861E-1	1,187712E-1	1,284732E-1	9,073647E-1
19/11/2021  10:57:31,092216	9,513064E-1	1,085766E-1	1,041465E-1	9,144566E-1
19/11/2021  10:57:31,092836	9,564594E-1	1,015679E-1	8,992954E-2	9,226146E-1
19/11/2021  10:57:31,093456	9,602146E-1	1,407532E-1	1,588027E-1	9,310180E-1
19/11/2021  10:57:31,094076	9,576455E-1	8,627604E-2	6,465498E-2	9,390337E-1
19/11/2021  10:57:31,094696	9,621071E-1	1,289658E-1	1,291051E-1	9,461819E-1
19/11/2021  10:57:31,095316	9,655940E-1	1,197269E-1	1,208909E-1	9,521785E-1
19/11/2021  10:57:31,095936	9,660470E-1	1,012493E-1	1,136244E-1	9,569760E-1
19/11/2021  10:57:31,096556	9,637909E-1	2,321857E-1	2,551620E-1	9,606537E-1
19/11/2021  10:57:31,097176	9,617137E-1	1,280100E-1	1,300529E-1	9,632868E-1
19/11/2021  10:57:31,097796	9,660351E-1	1,181340E-1	1,351078E-1	9,649558E-1
19/11/2021  10:57:31,098416	9,620117E-1	1,108067E-1	1,155200E-1	9,658132E-1
19/11/2021  10:57:31,099036	9,601579E-1	1,031608E-1	1,385831E-1	9,660313E-1
19/11/2021  10:57:31,099656	9,594725E-1	1,671954E-1	1,398468E-1	9,657283E-1
19/11/2021  10:57:31,100276	9,554133E-1	1,155854E-1	1,019350E-1	9,649880E-1
19/11/2021  10:57:31,100896	9,516015E-1	-7,067902E-3	-7,377513E-3	9,638591E-1
19/11/2021  10:57:31,101516	9,448511E-1	1,181340E-1	1,291051E-1	9,623233E-1
19/11/2021  10:57:31,102136	9,437871E-1	1,109116E-2	1,284213E-2	9,603223E-1
19/11/2021  10:57:31,102756	9,389531E-1	1,140974E-2	1,315807E-2	9,578340E-1
19/11/2021  10:57:31,103376	9,296397E-1	8,223938E-3	9,998747E-3	9,548692E-1
19/11/2021  10:57:31,103996	9,267965E-1	2,808078E-3	4,627903E-3	9,514055E-1
19/11/2021  10:57:31,104616	9,217955E-1	1,215178E-3	3,680107E-3	9,474309E-1
19/11/2021  10:57:31,105236	9,200312E-1	1,044459E+1	3,364175E-3	9,430223E-1
19/11/2021  10:57:31,105856	9,191997E-1	1,044459E+1	7,471291E-3	9,383556E-1
19/11/2021  10:57:31,106476	9,199835E-1	1,044459E+1	2,547941E-2	9,336914E-1
19/11/2021  10:57:31,107096	9,215839E-1	1,044459E+1	2,579535E-2	9,293402E-1
19/11/2021  10:57:31,107716	9,212799E-1	1,044459E+1	3,211399E-2	9,255962E-1
19/11/2021  10:57:31,108336	9,260812E-1	1,044459E+1	1,758111E-2	9,226831E-1
19/11/2021  10:57:31,108956	9,285310E-1	1,044459E+1	2,010857E-2	9,207573E-1
19/11/2021  10:57:31,109576	9,300778E-1	1,044459E+1	1,378993E-2	9,199022E-1
