waveform;Bridge;FTC1;FTC2;Bridge (Filtered)
t0;19/11/2021  12:08:16,891928;19/11/2021  12:08:16,891928;19/11/2021  12:08:16,891928;19/11/2021  12:08:16,891928
delta t;0,000620;0,000620;0,000620;0,000620

time;Bridge;FTC1;FTC2;Bridge (Filtered)
19/11/2021  12:08:16,891928;9,430391E-1;2,105222E-1;1,837613E-1;4,892087E-3
19/11/2021  12:08:16,892548;9,314219E-1;1,066652E-1;1,196272E-1;3,039469E-2
19/11/2021  12:08:16,893168;9,217359E-1;1,372488E-1;1,736515E-1;9,316149E-2
19/11/2021  12:08:16,893788;9,158915E-1;9,137332E-2;6,939396E-2;1,956539E-1
19/11/2021  12:08:16,894408;9,028646E-1;1,200455E-1;1,310007E-1;3,268398E-1
19/11/2021  12:08:16,895028;8,946033E-1;1,022050E-1;1,104651E-1;4,704118E-1
19/11/2021  12:08:16,895648;8,958073E-1;9,997498E-2;1,054102E-1;6,102638E-1
19/11/2021  12:08:16,896268;8,967729E-1;7,894870E-2;5,707262E-2;7,337730E-1
19/11/2021  12:08:16,896888;8,963914E-1;1,076209E-1;1,013031E-1;8,331396E-1
19/11/2021  12:08:16,897508;8,970769E-1;1,037979E-1;1,054102E-1;9,052762E-1
19/11/2021  12:08:16,898128;9,036187E-1;1,327887E-1;1,215227E-1;9,509865E-1
19/11/2021  12:08:16,898748;9,056691E-1;1,139925E-1;1,013031E-1;9,738725E-1
19/11/2021  12:08:16,899368;9,087001E-1;-4,274886E-2;6,839427E-3;9,791093E-1
19/11/2021  12:08:16,899988;9,101485E-1;3,625898E-2;5,612482E-2;9,723089E-1
19/11/2021  12:08:16,900608;9,142077E-1;1,378860E-1;1,297370E-1;9,586989E-1
19/11/2021  12:08:16,901228;9,203680E-1;1,057094E-1;1,038306E-1;9,426551E-1
19/11/2021  12:08:16,901848;9,263107E-1;1,162226E-1;1,170997E-1;9,274994E-1
19/11/2021  12:08:16,902468;9,345691E-1;1,458505E-1;1,499566E-1;9,154611E-1
19/11/2021  12:08:16,903088;9,415340E-1;1,391603E-1;1,360556E-1;9,077554E-1
19/11/2021  12:08:16,903708;9,470059E-1;1,127182E-1;1,199431E-1;9,047313E-1
19/11/2021  12:08:16,904328;9,510919E-1;7,586778E-3;5,264957E-2;9,060435E-1
