waveform	Bridge	FTC1	FTC2	Bridge (Filtered)
t0	11/11/2021  13:17:57,598760	11/11/2021  13:17:57,598760	11/11/2021  13:17:57,598760	11/11/2021  13:17:57,598760
delta t	0,000620	0,000620	0,000620	0,000620

time	Bridge	FTC1	FTC2	Bridge (Filtered)
11/11/2021  13:17:57,598760	9,387534E-1	2,175310E-1	1,973464E-1	4,869855E-3
11/11/2021  13:17:57,599380	9,389531E-1	1,311958E-1	1,268936E-1	3,031758E-2
11/11/2021  13:17:57,600000	9,391468E-1	9,997498E-2	7,981972E-2	9,316906E-2
11/11/2021  13:17:57,600620	9,389352E-1	1,894960E-1	2,188298E-1	1,962789E-1
11/11/2021  13:17:57,601240	9,387624E-1	7,289568E-2	7,539667E-2	3,290374E-1
11/11/2021  13:17:57,601860	9,394180E-1	2,224146E-2	2,074043E-2	4,754685E-1
11/11/2021  13:17:57,602480	9,390365E-1	1,618844E-2	1,694925E-2	6,196150E-1
11/11/2021  13:17:57,603100	9,392243E-1	2,319720E-2	2,168823E-2	7,486480E-1
11/11/2021  13:17:57,603720	9,388935E-1	1,273729E-1	1,600664E-1	8,542213E-1
11/11/2021  13:17:57,604340	9,383600E-1	1,216384E-1	1,186794E-1	9,325850E-1
11/11/2021  13:17:57,604960	9,384286E-1	1,464877E-1	1,436380E-1	9,839224E-1
11/11/2021  13:17:57,605580	9,381931E-1	1,260985E-1	1,177316E-1	1,011301E+0
11/11/2021  13:17:57,606200	9,370040E-1	1,053908E-1	1,120448E-1	1,019517E+0
11/11/2021  13:17:57,606820	9,370159E-1	1,681511E-1	2,137749E-1	1,014029E+0
11/11/2021  13:17:57,607440	9,373586E-1	1,296029E-1	1,275255E-1	1,000138E+0
11/11/2021  13:17:57,608060	9,378295E-1	1,550893E-1	1,480610E-1	9,824350E-1
11/11/2021  13:17:57,608680	9,367447E-1	8,850610E-2	8,045158E-2	9,644807E-1
11/11/2021  13:17:57,609300	9,373139E-1	6,907272E-2	7,034176E-2	9,486878E-1
11/11/2021  13:17:57,609920	9,372424E-1	1,751599E-1	1,869207E-1	9,363976E-1
11/11/2021  13:17:57,610540	9,376179E-1	1,190898E-1	1,155200E-1	9,280721E-1
11/11/2021  13:17:57,611160	9,381514E-1	1,605052E-1	1,455336E-1	9,235265E-1
11/11/2021  13:17:57,611780	9,387236E-1	8,149734E-2	7,002583E-2	9,221651E-1
11/11/2021  13:17:57,612400	9,384584E-1	1,401161E-1	1,319485E-1	9,231865E-1
11/11/2021  13:17:57,613020	9,398502E-1	1,742041E-1	1,777586E-1	9,257454E-1
11/11/2021  13:17:57,613640	9,402376E-1	1,050723E-1	9,751191E-2	9,290808E-1
11/11/2021  13:17:57,614260	9,401005E-1	1,627352E-1	1,546956E-1	9,325852E-1
11/11/2021  13:17:57,614880	9,403091E-1	1,474434E-1	1,619620E-1	9,358161E-1
11/11/2021  13:17:57,615500	9,402644E-1	1,028422E-1	1,205749E-1	9,384922E-1
11/11/2021  13:17:57,616120	9,402048E-1	1,461691E-1	1,651214E-1	9,404806E-1
11/11/2021  13:17:57,616740	9,399604E-1	1,267357E-1	1,174156E-1	9,417669E-1
11/11/2021  13:17:57,617360	9,402883E-1	1,289658E-1	1,234183E-1	9,424209E-1
11/11/2021  13:17:57,617980	9,403777E-1	1,423461E-1	1,537478E-1	9,425687E-1
11/11/2021  13:17:57,618600	9,394061E-1	1,251428E-1	1,227865E-1	9,423579E-1
11/11/2021  13:17:57,619220	9,389829E-1	1,726112E-1	1,809180E-1	9,419184E-1
11/11/2021  13:17:57,619840	9,392780E-1	1,385232E-1	1,354238E-1	9,413513E-1
11/11/2021  13:17:57,620460	9,382736E-1	1,139925E-1	1,076217E-1	9,407384E-1
11/11/2021  13:17:57,621080	9,381484E-1	1,359745E-1	1,477451E-1	9,401371E-1
11/11/2021  13:17:57,621700	9,372513E-1	1,459554E-2	1,536959E-2	9,395757E-1
11/11/2021  13:17:57,622320	9,370755E-1	6,238254E-2	1,133085E-1	9,390610E-1
11/11/2021  13:17:57,622940	9,363453E-1	2,925022E-2	2,358382E-2	9,385872E-1
11/11/2021  13:17:57,623560	9,362828E-1	1,187712E-1	1,439539E-1	9,381446E-1
11/11/2021  13:17:57,624180	9,363364E-1	1,187712E-1	1,913437E-1	9,377284E-1
11/11/2021  13:17:57,624800	9,359907E-1	1,053908E-1	1,013031E-1	9,373427E-1
11/11/2021  13:17:57,625420	9,363155E-1	1,401161E-1	1,562753E-1	9,369965E-1
11/11/2021  13:17:57,626040	9,352247E-1	1,799386E-1	1,502726E-1	9,366952E-1
11/11/2021  13:17:57,626660	9,356778E-1	1,305587E-1	1,278414E-1	9,364338E-1
11/11/2021  13:17:57,627280	9,366583E-1	1,283286E-1	1,265777E-1	9,362101E-1
11/11/2021  13:17:57,627900	9,368073E-1	1,557265E-1	1,300529E-1	9,360427E-1
11/11/2021  13:17:57,628520	9,364377E-1	1,464877E-1	1,518522E-1	9,359544E-1
11/11/2021  13:17:57,629140	9,366314E-1	1,366117E-1	1,420583E-1	9,359469E-1
11/11/2021  13:17:57,629760	9,359519E-1	1,751599E-1	1,948190E-1	9,360005E-1
11/11/2021  13:17:57,630380	9,356837E-1	1,229127E-1	1,193112E-1	9,360815E-1
11/11/2021  13:17:57,631000	9,360533E-1	1,210013E-1	9,972343E-2	9,361541E-1
11/11/2021  13:17:57,631620	9,379040E-1	1,203641E-1	1,180475E-1	9,362083E-1
11/11/2021  13:17:57,632240	9,384286E-1	1,073023E-1	7,981972E-2	9,362766E-1
11/11/2021  13:17:57,632860	9,387326E-1	1,174969E-1	1,218387E-1	9,364088E-1
11/11/2021  13:17:57,633480	9,384614E-1	1,098510E-1	1,082536E-1	9,366310E-1
11/11/2021  13:17:57,634100	9,391349E-1	1,085766E-1	9,119327E-2	9,369358E-1
11/11/2021  13:17:57,634720	9,388607E-1	8,914326E-2	9,277293E-2	9,372977E-1
11/11/2021  13:17:57,635340	9,398263E-1	1,321516E-1	1,512204E-1	9,376891E-1
11/11/2021  13:17:57,635960	9,391140E-1	1,423461E-1	1,572231E-1	9,380862E-1
11/11/2021  13:17:57,636580	9,394389E-1	1,471248E-1	1,505885E-1	9,384646E-1
11/11/2021  13:17:57,637200	9,397727E-1	1,499920E-1	1,357397E-1	9,388020E-1
11/11/2021  13:17:57,637820	9,403926E-1	1,088952E-1	1,392149E-1	9,390915E-1
11/11/2021  13:17:57,638440	9,394598E-1	1,200455E-1	1,461654E-1	9,393388E-1
11/11/2021  13:17:57,639060	9,408337E-1	1,350188E-1	1,445858E-1	9,395482E-1
11/11/2021  13:17:57,639680	9,402555E-1	1,127182E-1	1,268936E-1	9,397274E-1
11/11/2021  13:17:57,640300	9,394657E-1	1,133553E-1	1,155200E-1	9,398814E-1
11/11/2021  13:17:57,640920	9,383481E-1	1,563636E-1	1,919756E-1	9,399911E-1
11/11/2021  13:17:57,641540	9,388667E-1	5,155082E-2	1,088855E-1	9,400216E-1
11/11/2021  13:17:57,642160	9,383362E-1	5,314372E-2	5,264957E-2	9,399544E-1
11/11/2021  13:17:57,642780	9,389561E-1	4,963934E-2	5,422923E-2	9,397998E-1
11/11/2021  13:17:57,643400	9,379547E-1	1,427696E-2	1,378993E-2	9,395843E-1
11/11/2021  13:17:57,644020	9,382796E-1	1,490363E-1	1,685966E-1	9,393335E-1
11/11/2021  13:17:57,644640	9,375375E-1	1,468062E-1	1,739675E-1	9,390650E-1
11/11/2021  13:17:57,645260	9,374391E-1	9,901924E-2	9,245700E-2	9,387891E-1
11/11/2021  13:17:57,645880	9,366791E-1	1,254614E-1	1,215227E-1	9,385081E-1
