waveform;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
t0;29/11/2021  14:49:48,427399;29/11/2021  14:49:48,427399;29/11/2021  14:49:48,427399;29/11/2021  14:49:48,427399;29/11/2021  14:49:48,427399;29/11/2021  14:49:48,427399
delta t;0,000620;0,000620;0,000620;0,000620;0,000620;0,000620

time;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
29/11/2021  14:49:48,427399;9,381097E-1;1,044459E+1;8,419087E-3;4,866516E-3;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,428019;9,391260E-1;1,044459E+1;2,732311E-3;3,030103E-2;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,428639;9,379040E-1;1,044459E+1;3,364175E-3;9,312420E-2;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,429259;9,384614E-1;1,044459E+1;3,048243E-3;1,961836E-1;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,429879;9,388637E-1;1,044459E+1;4,627903E-3;3,288698E-1;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,430499;9,399634E-1;1,044459E+1;3,048243E-3;4,752300E-1;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,431119;9,384912E-1;1,044459E+1;9,682815E-3;6,193341E-1;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,431739;9,396505E-1;1,044459E+1;8,419087E-3;7,483603E-1;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,432359;9,382021E-1;1,044459E+1;5,891631E-3;8,539537E-1;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,432979;9,390008E-1;1,044459E+1;1,378993E-2;9,323533E-1;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,433599;9,393793E-1;1,044459E+1;4,627903E-3;9,837432E-1;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,434219;9,382170E-1;1,044459E+1;3,996039E-3;1,011201E+0;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,434839;9,397339E-1;1,044459E+1;4,311971E-3;1,019529E+0;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,435459;9,392303E-1;1,044459E+1;3,364175E-3;1,014206E+0;1,077225E+2;1,080152E+2
29/11/2021  14:49:48,436079;9,385865E-1;1,044459E+1;1,536959E-2;1,000550E+0;1,077225E+2;1,080152E+2
