waveform;Bridge
t0;16/11/2021  09:14:29,484388
delta t;0,000100

time;Bridge
16/11/2021  09:14:29,484388;-1,463243E-2
16/11/2021  09:14:29,484488;-1,400617E-2
16/11/2021  09:14:29,484588;-1,405569E-2
16/11/2021  09:14:29,484688;-1,437516E-2
16/11/2021  09:14:29,484788;-1,361140E-2
16/11/2021  09:14:29,484888;-1,356286E-2
16/11/2021  09:14:29,484988;-1,403573E-2
16/11/2021  09:14:29,485088;-1,375245E-2
16/11/2021  09:14:29,485188;-1,388474E-2
16/11/2021  09:14:29,485288;-1,361541E-2
16/11/2021  09:14:29,485388;-1,415704E-2
16/11/2021  09:14:29,485488;-1,452266E-2
16/11/2021  09:14:29,485588;-1,442038E-2
16/11/2021  09:14:29,485688;-1,488625E-2
16/11/2021  09:14:29,485788;-1,412381E-2
16/11/2021  09:14:29,485888;-1,420890E-2
16/11/2021  09:14:29,485988;-1,399075E-2
16/11/2021  09:14:29,486088;-1,478170E-2
16/11/2021  09:14:29,486188;-1,429425E-2
16/11/2021  09:14:29,486288;-1,374967E-2
16/11/2021  09:14:29,486388;-1,498329E-2
16/11/2021  09:14:29,486488;-1,377049E-2
16/11/2021  09:14:29,486588;-1,510843E-2
16/11/2021  09:14:29,486688;-1,453149E-2
16/11/2021  09:14:29,486788;-1,487138E-2
16/11/2021  09:14:29,486888;-1,529226E-2
16/11/2021  09:14:29,486988;-1,493024E-2
16/11/2021  09:14:29,487088;-1,417403E-2
16/11/2021  09:14:29,487188;-1,491599E-2
16/11/2021  09:14:29,487288;-1,445592E-2
16/11/2021  09:14:29,487388;-1,450714E-2
16/11/2021  09:14:29,487488;-1,396188E-2
16/11/2021  09:14:29,487588;-1,493383E-2
16/11/2021  09:14:29,487688;-1,505110E-2
16/11/2021  09:14:29,487788;-1,450190E-2
16/11/2021  09:14:29,487888;-1,406234E-2
16/11/2021  09:14:29,487988;-1,470615E-2
16/11/2021  09:14:29,488088;-1,463345E-2
16/11/2021  09:14:29,488188;-1,429844E-2
16/11/2021  09:14:29,488288;-1,542036E-2
16/11/2021  09:14:29,488388;-1,485779E-2
16/11/2021  09:14:29,488488;-1,520107E-2
16/11/2021  09:14:29,488588;-1,503572E-2
16/11/2021  09:14:29,488688;-1,497002E-2
16/11/2021  09:14:29,488788;-1,528345E-2
16/11/2021  09:14:29,488888;-1,422713E-2
16/11/2021  09:14:29,488988;-1,407152E-2
16/11/2021  09:14:29,489088;-1,455507E-2
16/11/2021  09:14:29,489188;-1,445032E-2
16/11/2021  09:14:29,489288;-1,556505E-2
16/11/2021  09:14:29,489388;-1,483068E-2
16/11/2021  09:14:29,489488;-1,519726E-2
16/11/2021  09:14:29,489588;-1,515510E-2
16/11/2021  09:14:29,489688;-1,499047E-2
16/11/2021  09:14:29,489788;-1,523991E-2
16/11/2021  09:14:29,489888;-1,560411E-2
16/11/2021  09:14:29,489988;-1,456194E-2
16/11/2021  09:14:29,490088;-1,489735E-2
16/11/2021  09:14:29,490188;-1,520186E-2
16/11/2021  09:14:29,490288;-1,505605E-2
16/11/2021  09:14:29,490388;-1,560231E-2
16/11/2021  09:14:29,490488;-1,541310E-2
16/11/2021  09:14:29,490588;-1,531522E-2
16/11/2021  09:14:29,490688;-1,556709E-2
16/11/2021  09:14:29,490788;-1,506375E-2
16/11/2021  09:14:29,490888;-1,544832E-2
16/11/2021  09:14:29,490988;-1,578762E-2
16/11/2021  09:14:29,491088;-1,445168E-2
16/11/2021  09:14:29,491188;-1,444247E-2
16/11/2021  09:14:29,491288;-1,444522E-2
16/11/2021  09:14:29,491388;-1,474945E-2
16/11/2021  09:14:29,491488;-1,519692E-2
16/11/2021  09:14:29,491588;-1,489309E-2
16/11/2021  09:14:29,491688;-1,534381E-2
16/11/2021  09:14:29,491788;-1,492045E-2
16/11/2021  09:14:29,491888;-1,477569E-2
16/11/2021  09:14:29,491988;-1,535038E-2
16/11/2021  09:14:29,492088;-1,502823E-2
16/11/2021  09:14:29,492188;-1,533164E-2
16/11/2021  09:14:29,492288;-1,479361E-2
16/11/2021  09:14:29,492388;-1,565226E-2
16/11/2021  09:14:29,492488;-1,577123E-2
16/11/2021  09:14:29,492588;-1,505603E-2
16/11/2021  09:14:29,492688;-1,460891E-2
16/11/2021  09:14:29,492788;-1,524170E-2
16/11/2021  09:14:29,492888;-1,544027E-2
16/11/2021  09:14:29,492988;-1,465133E-2
16/11/2021  09:14:29,493088;-1,581710E-2
16/11/2021  09:14:29,493188;-1,527600E-2
16/11/2021  09:14:29,493288;-1,598271E-2
16/11/2021  09:14:29,493388;-1,526793E-2
16/11/2021  09:14:29,493488;-1,573998E-2
16/11/2021  09:14:29,493588;-1,472124E-2
16/11/2021  09:14:29,493688;-1,545473E-2
16/11/2021  09:14:29,493788;-1,612436E-2
16/11/2021  09:14:29,493888;-1,481074E-2
16/11/2021  09:14:29,493988;-1,576001E-2
16/11/2021  09:14:29,494088;-1,560898E-2
16/11/2021  09:14:29,494188;-1,480387E-2
16/11/2021  09:14:29,494288;-1,549428E-2
16/11/2021  09:14:29,494388;-1,559136E-2
16/11/2021  09:14:29,494488;-1,480973E-2
16/11/2021  09:14:29,494588;-1,557869E-2
16/11/2021  09:14:29,494688;-1,513692E-2
16/11/2021  09:14:29,494788;-1,495105E-2
16/11/2021  09:14:29,494888;-1,528681E-2
16/11/2021  09:14:29,494988;-1,570635E-2
16/11/2021  09:14:29,495088;-1,537921E-2
16/11/2021  09:14:29,495188;-1,592734E-2
16/11/2021  09:14:29,495288;-1,599562E-2
16/11/2021  09:14:29,495388;-1,541052E-2
16/11/2021  09:14:29,495488;-1,603006E-2
16/11/2021  09:14:29,495588;-1,540449E-2
16/11/2021  09:14:29,495688;-1,560068E-2
16/11/2021  09:14:29,495788;-1,549456E-2
16/11/2021  09:14:29,495888;-1,603811E-2
16/11/2021  09:14:29,495988;-1,621031E-2
16/11/2021  09:14:29,496088;-1,634653E-2
16/11/2021  09:14:29,496188;-1,529184E-2
16/11/2021  09:14:29,496288;-1,495316E-2
16/11/2021  09:14:29,496388;-1,579550E-2
16/11/2021  09:14:29,496488;-1,583124E-2
16/11/2021  09:14:29,496588;-1,540650E-2
16/11/2021  09:14:29,496688;-1,501668E-2
16/11/2021  09:14:29,496788;-1,552370E-2
16/11/2021  09:14:29,496888;-1,644982E-2
16/11/2021  09:14:29,496988;-1,544713E-2
16/11/2021  09:14:29,497088;-1,577347E-2
16/11/2021  09:14:29,497188;-1,639965E-2
16/11/2021  09:14:29,497288;-1,552120E-2
16/11/2021  09:14:29,497388;-1,570668E-2
16/11/2021  09:14:29,497488;-1,634393E-2
16/11/2021  09:14:29,497588;-1,581404E-2
16/11/2021  09:14:29,497688;-1,636657E-2
16/11/2021  09:14:29,497788;-1,599171E-2
16/11/2021  09:14:29,497888;-1,574814E-2
16/11/2021  09:14:29,497988;-1,613287E-2
16/11/2021  09:14:29,498088;-1,585140E-2
16/11/2021  09:14:29,498188;-1,605398E-2
16/11/2021  09:14:29,498288;-1,592307E-2
16/11/2021  09:14:29,498388;-1,621117E-2
16/11/2021  09:14:29,498488;-1,616335E-2
16/11/2021  09:14:29,498588;-1,533012E-2
16/11/2021  09:14:29,498688;-1,632291E-2
16/11/2021  09:14:29,498788;-1,615584E-2
16/11/2021  09:14:29,498888;-1,633173E-2
16/11/2021  09:14:29,498988;-1,643585E-2
16/11/2021  09:14:29,499088;-1,674065E-2
16/11/2021  09:14:29,499188;-1,541773E-2
16/11/2021  09:14:29,499288;-1,626299E-2
16/11/2021  09:14:29,499388;-1,662470E-2
16/11/2021  09:14:29,499488;-1,574674E-2
16/11/2021  09:14:29,499588;-1,654201E-2
16/11/2021  09:14:29,499688;-1,580372E-2
16/11/2021  09:14:29,499788;-1,566173E-2
16/11/2021  09:14:29,499888;-1,538117E-2
16/11/2021  09:14:29,499988;-1,615277E-2
16/11/2021  09:14:29,500088;-1,609781E-2
16/11/2021  09:14:29,500188;-1,681503E-2
16/11/2021  09:14:29,500288;-1,649162E-2
16/11/2021  09:14:29,500388;-1,650253E-2
16/11/2021  09:14:29,500488;-1,625283E-2
16/11/2021  09:14:29,500588;-1,641824E-2
16/11/2021  09:14:29,500688;-1,685731E-2
16/11/2021  09:14:29,500788;-1,666167E-2
16/11/2021  09:14:29,500888;-1,558184E-2
16/11/2021  09:14:29,500988;-1,570806E-2
16/11/2021  09:14:29,501088;-1,599011E-2
16/11/2021  09:14:29,501188;-1,667895E-2
16/11/2021  09:14:29,501288;-1,593608E-2
16/11/2021  09:14:29,501388;-1,588899E-2
16/11/2021  09:14:29,501488;-1,625266E-2
16/11/2021  09:14:29,501588;-1,628907E-2
16/11/2021  09:14:29,501688;-1,639378E-2
16/11/2021  09:14:29,501788;-1,662811E-2
16/11/2021  09:14:29,501888;-1,668390E-2
16/11/2021  09:14:29,501988;-1,599563E-2
16/11/2021  09:14:29,502088;-1,582071E-2
16/11/2021  09:14:29,502188;-1,643508E-2
16/11/2021  09:14:29,502288;-1,617552E-2
16/11/2021  09:14:29,502388;-1,711176E-2
16/11/2021  09:14:29,502488;-1,707147E-2
16/11/2021  09:14:29,502588;-1,712895E-2
16/11/2021  09:14:29,502688;-1,638533E-2
16/11/2021  09:14:29,502788;-1,657746E-2
16/11/2021  09:14:29,502888;-1,683866E-2
16/11/2021  09:14:29,502988;-1,584266E-2
16/11/2021  09:14:29,503088;-1,703073E-2
16/11/2021  09:14:29,503188;-1,714123E-2
16/11/2021  09:14:29,503288;-1,692524E-2
16/11/2021  09:14:29,503388;-1,677330E-2
16/11/2021  09:14:29,503488;-1,645367E-2
16/11/2021  09:14:29,503588;-1,722873E-2
16/11/2021  09:14:29,503688;-1,694989E-2
16/11/2021  09:14:29,503788;-1,612735E-2
16/11/2021  09:14:29,503888;-1,609612E-2
16/11/2021  09:14:29,503988;-1,607844E-2
16/11/2021  09:14:29,504088;-1,675306E-2
16/11/2021  09:14:29,504188;-1,646603E-2
16/11/2021  09:14:29,504288;-1,627783E-2
16/11/2021  09:14:29,504388;-1,647211E-2
16/11/2021  09:14:29,504488;-1,701832E-2
16/11/2021  09:14:29,504588;-1,640269E-2
16/11/2021  09:14:29,504688;-1,691567E-2
16/11/2021  09:14:29,504788;-1,713755E-2
16/11/2021  09:14:29,504888;-1,637566E-2
16/11/2021  09:14:29,504988;-1,685614E-2
16/11/2021  09:14:29,505088;-1,657675E-2
16/11/2021  09:14:29,505188;-1,615298E-2
16/11/2021  09:14:29,505288;-1,600168E-2
16/11/2021  09:14:29,505388;-1,681267E-2
16/11/2021  09:14:29,505488;-1,600468E-2
16/11/2021  09:14:29,505588;-1,743035E-2
16/11/2021  09:14:29,505688;-1,648193E-2
16/11/2021  09:14:29,505788;-1,729921E-2
16/11/2021  09:14:29,505888;-1,650951E-2
16/11/2021  09:14:29,505988;-1,660455E-2
16/11/2021  09:14:29,506088;-1,645258E-2
16/11/2021  09:14:29,506188;-1,702404E-2
16/11/2021  09:14:29,506288;-1,636567E-2
16/11/2021  09:14:29,506388;-1,691236E-2
16/11/2021  09:14:29,506488;-1,728646E-2
16/11/2021  09:14:29,506588;-1,688303E-2
16/11/2021  09:14:29,506688;-1,660101E-2
16/11/2021  09:14:29,506788;-1,687857E-2
16/11/2021  09:14:29,506888;-1,633607E-2
16/11/2021  09:14:29,506988;-1,678767E-2
16/11/2021  09:14:29,507088;-1,682412E-2
16/11/2021  09:14:29,507188;-1,739796E-2
16/11/2021  09:14:29,507288;-1,700419E-2
16/11/2021  09:14:29,507388;-1,751810E-2
16/11/2021  09:14:29,507488;-1,697889E-2
16/11/2021  09:14:29,507588;-1,703589E-2
16/11/2021  09:14:29,507688;-1,715456E-2
16/11/2021  09:14:29,507788;-1,705372E-2
16/11/2021  09:14:29,507888;-1,766546E-2
16/11/2021  09:14:29,507988;-1,762679E-2
16/11/2021  09:14:29,508088;-1,762904E-2
16/11/2021  09:14:29,508188;-1,708411E-2
16/11/2021  09:14:29,508288;-1,691983E-2
16/11/2021  09:14:29,508388;-1,649841E-2
16/11/2021  09:14:29,508488;-1,688666E-2
16/11/2021  09:14:29,508588;-1,715392E-2
16/11/2021  09:14:29,508688;-1,709181E-2
16/11/2021  09:14:29,508788;-1,640057E-2
16/11/2021  09:14:29,508888;-1,703099E-2
16/11/2021  09:14:29,508988;-1,664454E-2
16/11/2021  09:14:29,509088;-1,721211E-2
16/11/2021  09:14:29,509188;-1,746586E-2
16/11/2021  09:14:29,509288;-1,773990E-2
16/11/2021  09:14:29,509388;-1,704601E-2
16/11/2021  09:14:29,509488;-1,648961E-2
16/11/2021  09:14:29,509588;-1,778015E-2
16/11/2021  09:14:29,509688;-1,736419E-2
16/11/2021  09:14:29,509788;-1,772096E-2
16/11/2021  09:14:29,509888;-1,782819E-2
16/11/2021  09:14:29,509988;-1,689293E-2
16/11/2021  09:14:29,510088;-1,721311E-2
16/11/2021  09:14:29,510188;-1,711842E-2
16/11/2021  09:14:29,510288;-1,650799E-2
16/11/2021  09:14:29,510388;-1,734424E-2
16/11/2021  09:14:29,510488;-1,678746E-2
16/11/2021  09:14:29,510588;-1,713237E-2
16/11/2021  09:14:29,510688;-1,691348E-2
16/11/2021  09:14:29,510788;-1,703390E-2
16/11/2021  09:14:29,510888;-1,697871E-2
16/11/2021  09:14:29,510988;-1,706520E-2
16/11/2021  09:14:29,511088;-1,745704E-2
16/11/2021  09:14:29,511188;-1,751616E-2
16/11/2021  09:14:29,511288;-1,750066E-2
16/11/2021  09:14:29,511388;-1,739685E-2
16/11/2021  09:14:29,511488;-1,708490E-2
16/11/2021  09:14:29,511588;-1,704399E-2
16/11/2021  09:14:29,511688;-1,806770E-2
16/11/2021  09:14:29,511788;-1,681226E-2
16/11/2021  09:14:29,511888;-1,800690E-2
16/11/2021  09:14:29,511988;-1,794361E-2
16/11/2021  09:14:29,512088;-1,708589E-2
16/11/2021  09:14:29,512188;-1,669126E-2
16/11/2021  09:14:29,512288;-1,804003E-2
16/11/2021  09:14:29,512388;-1,714473E-2
16/11/2021  09:14:29,512488;-1,737222E-2
16/11/2021  09:14:29,512588;-1,801290E-2
16/11/2021  09:14:29,512688;-1,820734E-2
16/11/2021  09:14:29,512788;-1,694765E-2
16/11/2021  09:14:29,512888;-1,766784E-2
16/11/2021  09:14:29,512988;-1,737823E-2
16/11/2021  09:14:29,513088;-1,798215E-2
16/11/2021  09:14:29,513188;-1,735291E-2
16/11/2021  09:14:29,513288;-1,746078E-2
16/11/2021  09:14:29,513388;-1,710446E-2
16/11/2021  09:14:29,513488;-1,781775E-2
16/11/2021  09:14:29,513588;-1,803205E-2
16/11/2021  09:14:29,513688;-1,688315E-2
16/11/2021  09:14:29,513788;-1,709256E-2
16/11/2021  09:14:29,513888;-1,785524E-2
16/11/2021  09:14:29,513988;-1,827038E-2
16/11/2021  09:14:29,514088;-1,820270E-2
16/11/2021  09:14:29,514188;-1,692598E-2
16/11/2021  09:14:29,514288;-1,744869E-2
16/11/2021  09:14:29,514388;-1,745549E-2
16/11/2021  09:14:29,514488;-1,816535E-2
16/11/2021  09:14:29,514588;-1,839449E-2
16/11/2021  09:14:29,514688;-1,789618E-2
16/11/2021  09:14:29,514788;-1,794170E-2
16/11/2021  09:14:29,514888;-1,721359E-2
16/11/2021  09:14:29,514988;-1,790550E-2
16/11/2021  09:14:29,515088;-1,802138E-2
16/11/2021  09:14:29,515188;-1,786943E-2
16/11/2021  09:14:29,515288;-1,834133E-2
16/11/2021  09:14:29,515388;-1,798163E-2
16/11/2021  09:14:29,515488;-1,849404E-2
16/11/2021  09:14:29,515588;-1,826683E-2
16/11/2021  09:14:29,515688;-1,760211E-2
16/11/2021  09:14:29,515788;-1,729799E-2
16/11/2021  09:14:29,515888;-1,853026E-2
16/11/2021  09:14:29,515988;-1,851124E-2
16/11/2021  09:14:29,516088;-1,753684E-2
16/11/2021  09:14:29,516188;-1,746288E-2
16/11/2021  09:14:29,516288;-1,786310E-2
16/11/2021  09:14:29,516388;-1,847970E-2
16/11/2021  09:14:29,516488;-1,753538E-2
16/11/2021  09:14:29,516588;-1,799451E-2
16/11/2021  09:14:29,516688;-1,812481E-2
16/11/2021  09:14:29,516788;-1,796548E-2
16/11/2021  09:14:29,516888;-1,839866E-2
16/11/2021  09:14:29,516988;-1,819731E-2
16/11/2021  09:14:29,517088;-1,853009E-2
16/11/2021  09:14:29,517188;-1,818985E-2
16/11/2021  09:14:29,517288;-1,761642E-2
16/11/2021  09:14:29,517388;-1,839045E-2
16/11/2021  09:14:29,517488;-1,800173E-2
16/11/2021  09:14:29,517588;-1,748533E-2
16/11/2021  09:14:29,517688;-1,762608E-2
16/11/2021  09:14:29,517788;-1,819269E-2
16/11/2021  09:14:29,517888;-1,863103E-2
16/11/2021  09:14:29,517988;-1,798385E-2
16/11/2021  09:14:29,518088;-1,757155E-2
16/11/2021  09:14:29,518188;-1,781676E-2
16/11/2021  09:14:29,518288;-1,860992E-2
16/11/2021  09:14:29,518388;-1,737880E-2
16/11/2021  09:14:29,518488;-1,831974E-2
16/11/2021  09:14:29,518588;-1,857268E-2
16/11/2021  09:14:29,518688;-1,802735E-2
16/11/2021  09:14:29,518788;-1,759720E-2
16/11/2021  09:14:29,518888;-1,875860E-2
16/11/2021  09:14:29,518988;-1,803854E-2
16/11/2021  09:14:29,519088;-1,817127E-2
16/11/2021  09:14:29,519188;-1,845704E-2
16/11/2021  09:14:29,519288;-1,813886E-2
16/11/2021  09:14:29,519388;-1,859936E-2
16/11/2021  09:14:29,519488;-1,822620E-2
16/11/2021  09:14:29,519588;-1,763738E-2
16/11/2021  09:14:29,519688;-1,747480E-2
16/11/2021  09:14:29,519788;-1,780625E-2
16/11/2021  09:14:29,519888;-1,850654E-2
16/11/2021  09:14:29,519988;-1,804109E-2
16/11/2021  09:14:29,520088;-1,827046E-2
16/11/2021  09:14:29,520188;-1,876090E-2
16/11/2021  09:14:29,520288;-1,761675E-2
16/11/2021  09:14:29,520388;-1,887626E-2
16/11/2021  09:14:29,520488;-1,758631E-2
16/11/2021  09:14:29,520588;-1,847693E-2
16/11/2021  09:14:29,520688;-1,867925E-2
16/11/2021  09:14:29,520788;-1,853585E-2
16/11/2021  09:14:29,520888;-1,871317E-2
16/11/2021  09:14:29,520988;-1,842241E-2
16/11/2021  09:14:29,521088;-1,851966E-2
16/11/2021  09:14:29,521188;-1,910374E-2
16/11/2021  09:14:29,521288;-1,896683E-2
16/11/2021  09:14:29,521388;-1,819512E-2
16/11/2021  09:14:29,521488;-1,895028E-2
16/11/2021  09:14:29,521588;-1,856307E-2
16/11/2021  09:14:29,521688;-1,787174E-2
16/11/2021  09:14:29,521788;-1,853718E-2
16/11/2021  09:14:29,521888;-1,904624E-2
16/11/2021  09:14:29,521988;-1,804180E-2
16/11/2021  09:14:29,522088;-1,774893E-2
16/11/2021  09:14:29,522188;-1,863735E-2
16/11/2021  09:14:29,522288;-1,854659E-2
16/11/2021  09:14:29,522388;-1,816152E-2
16/11/2021  09:14:29,522488;-1,796903E-2
16/11/2021  09:14:29,522588;-1,892676E-2
16/11/2021  09:14:29,522688;-1,827843E-2
16/11/2021  09:14:29,522788;-1,832953E-2
16/11/2021  09:14:29,522888;-1,839340E-2
16/11/2021  09:14:29,522988;-1,882157E-2
16/11/2021  09:14:29,523088;-1,924251E-2
16/11/2021  09:14:29,523188;-1,854625E-2
16/11/2021  09:14:29,523288;-1,826413E-2
16/11/2021  09:14:29,523388;-1,911520E-2
16/11/2021  09:14:29,523488;-1,824946E-2
16/11/2021  09:14:29,523588;-1,805735E-2
16/11/2021  09:14:29,523688;-1,856032E-2
16/11/2021  09:14:29,523788;-1,847230E-2
16/11/2021  09:14:29,523888;-1,824947E-2
