waveform;Bridge;Resistance_0;Resistance_1
t0;29/11/2021  17:31:09,391641;29/11/2021  17:31:09,901058;29/11/2021  17:31:09,901058
delta t;0,000500;0,005000;0,005000

time;Bridge;Resistance_0;Resistance_1
29/11/2021  17:31:09,391641;9,397459E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,392141;9,386312E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,392641;9,385835E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,393141;9,397935E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,393641;9,388428E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,394141;9,386670E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,394641;9,387743E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,395141;9,386491E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,395641;9,390157E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,396141;9,391379E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,396641;9,386759E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,397141;9,392601E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,397641;9,387475E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,398141;9,394478E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,398641;9,406250E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,399141;9,392124E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,399641;9,392005E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,400141;9,388339E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,400641;9,399724E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,401141;9,393823E-4;1,074985E+2;1,078587E+2
29/11/2021  17:31:09,401641;9,400260E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,402141;9,395998E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,402641;9,401691E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,403141;9,396594E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,403641;9,402823E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,404141;9,390067E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,404641;9,391289E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,405141;9,394538E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,405641;9,389769E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,406141;9,398919E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,406641;9,388488E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,407141;9,392988E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,407641;9,398770E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,408141;9,395402E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,408641;9,392213E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,409141;9,396535E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,409641;9,402466E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,410141;9,389948E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,410641;9,396982E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,411141;9,397369E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,411641;9,391528E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,412141;9,390813E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,412641;9,390187E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,413141;9,400856E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,413641;9,389829E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,414141;9,392958E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,414641;9,389620E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,415141;9,391945E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,415641;9,386402E-4;1,074980E+2;1,078611E+2
29/11/2021  17:31:09,416141;9,393227E-4;1,074980E+2;1,078611E+2
