waveform;Bridge;FTC1;FTC2;Bridge (Filtered)
t0;18/11/2021  12:50:50,904449;18/11/2021  12:50:50,904449;18/11/2021  12:50:50,904449;18/11/2021  12:50:50,904449
delta t;0,000620;0,000620;0,000620;0,000620

time;Bridge;FTC1;FTC2;Bridge (Filtered)
18/11/2021  12:50:50,904449;9,387892E-1;1,280100E-1;1,483770E-1;4,870041E-3
18/11/2021  12:50:50,905069;9,372812E-1;2,988738E-2;4,791059E-2;3,030988E-2
18/11/2021  12:50:50,905689;9,278068E-1;7,385142E-2;7,666040E-2;9,306730E-2
18/11/2021  12:50:50,906309;9,339075E-1;1,111253E-1;1,246821E-1;1,958374E-1
18/11/2021  12:50:50,906929;9,385537E-1;5,855958E-2;4,475127E-2;3,279623E-1
18/11/2021  12:50:50,907549;9,310195E-1;7,193994E-2;8,708615E-2;4,736066E-1
18/11/2021  12:50:50,908169;9,348075E-1;1,646467E-1;1,379512E-1;6,169406E-1
18/11/2021  12:50:50,908789;9,444190E-1;1,168597E-1;9,877564E-2;7,452441E-1
18/11/2021  12:50:50,909409;9,384792E-1;1,139925E-1;7,887192E-2;8,503744E-1
18/11/2021  12:50:50,910029;9,383809E-1;2,943088E-1;3,031836E-1;9,287223E-1
18/11/2021  12:50:50,910649;9,468986E-1;1,181340E-1;1,079377E-1;9,804669E-1
18/11/2021  12:50:50,911269;9,391736E-1;9,498258E-3;1,031468E-2;1,008647E+0
18/11/2021  12:50:50,911889;9,357225E-1;1,172832E-2;1,315807E-2;1,017943E+0
18/11/2021  12:50:50,912509;9,398621E-1;2,170918E-3;3,996039E-3;1,013577E+0
18/11/2021  12:50:50,913129;9,374242E-1;8,223938E-3;9,366883E-3;1,000663E+0
18/11/2021  12:50:50,913749;9,307305E-1;2,489498E-3;4,627903E-3;9,836654E-1
18/11/2021  12:50:50,914369;9,345691E-1;1,215178E-3;3,364175E-3;9,660017E-1
18/11/2021  12:50:50,914989;9,356986E-1;2,489498E-3;4,311971E-3;9,500397E-1
18/11/2021  12:50:50,915609;9,314189E-1;1,841850E-2;2,200416E-2;9,372202E-1
18/11/2021  12:50:50,916229;9,363304E-1;1,264171E-1;1,464814E-1;9,281337E-1
18/11/2021  12:50:50,916849;9,409946E-1;1,187712E-1;1,231024E-1;9,227587E-1
18/11/2021  12:50:50,917469;9,355377E-1;1,114439E-1;1,341600E-1;9,207032E-1
18/11/2021  12:50:50,918089;9,389650E-1;-1,147479E-1;1,468583E-3;9,212753E-1
18/11/2021  12:50:50,918709;9,422344E-1;1,146297E-1;1,208909E-1;9,236464E-1
18/11/2021  12:50:50,919329;9,360235E-1;1,280100E-1;1,243661E-1;9,270428E-1
18/11/2021  12:50:50,919949;9,370219E-1;8,595746E-2;9,656411E-2;9,307530E-1
18/11/2021  12:50:50,920569;9,404671E-1;2,347343E-1;1,723878E-1;9,341924E-1
18/11/2021  12:50:50,921189;9,360413E-1;1,031608E-1;7,350108E-2;9,370169E-1
18/11/2021  12:50:50,921809;9,342383E-1;9,264764E-2;8,961361E-2;9,390492E-1
18/11/2021  12:50:50,922429;9,412241E-1;1,464877E-1;1,433221E-1;9,402315E-1
18/11/2021  12:50:50,923049;9,408963E-1;1,566822E-1;1,591187E-1;9,407056E-1
18/11/2021  12:50:50,923669;9,367745E-1;1,092138E-1;1,417424E-1;9,407235E-1
18/11/2021  12:50:50,924289;9,453607E-1;1,127182E-1;1,240502E-1;9,404978E-1
18/11/2021  12:50:50,924909;9,471787E-1;1,544522E-1;1,616461E-1;9,402580E-1
18/11/2021  12:50:50,925529;9,410363E-1;6,779840E-2;7,666040E-2;9,402304E-1
18/11/2021  12:50:50,926149;9,425026E-1;4,740928E-2;5,264957E-2;9,404640E-1
18/11/2021  12:50:50,926769;9,474052E-1;8,181592E-2;1,060421E-1;9,408840E-1
