waveform	Bridge	FTC1	FTC2	Bridge (Filtered)
t0	18/11/2021  12:51:33,860158	18/11/2021  12:51:33,860158	18/11/2021  12:51:33,860158	18/11/2021  12:51:33,860158
delta t	0,000620	0,000620	0,000620	0,000620

time	Bridge	FTC1	FTC2	Bridge (Filtered)
18/11/2021  12:51:33,860158	9,439421E-1	2,331414E-1	2,365220E-1	4,896772E-3
18/11/2021  12:51:33,860778	9,443564E-1	2,857071E-1	2,592691E-1	3,048626E-2
18/11/2021  12:51:33,861398	9,373884E-1	-8,480142E-2	-1,938293E-2	9,365376E-2
18/11/2021  12:51:33,862018	9,420049E-1	1,260985E-1	1,249980E-1	1,971787E-1
18/11/2021  12:51:33,862638	9,462131E-1	2,137080E-1	2,074562E-1	3,303685E-1
18/11/2021  12:51:33,863258	9,379487E-1	1,977790E-1	2,412610E-1	4,772484E-1
18/11/2021  12:51:33,863878	9,373884E-1	5,038138E-3	7,155359E-3	6,217930E-1
18/11/2021  12:51:33,864498	9,431136E-1	3,126658E-3	5,575699E-3	7,510456E-1
18/11/2021  12:51:33,865118	9,358566E-1	2,594380E-4	2,416379E-3	8,566272E-1
18/11/2021  12:51:33,865738	9,329031E-1	-5,914200E-5	2,416379E-3	9,347778E-1
18/11/2021  12:51:33,866358	9,392183E-1	1,533758E-3	3,680107E-3	9,856426E-1
18/11/2021  12:51:33,866978	9,366493E-1	1,533758E-3	4,311971E-3	1,012352E+0
18/11/2021  12:51:33,867598	9,312520E-1	3,445238E-3	3,996039E-3	1,019822E+0
18/11/2021  12:51:33,868218	9,383302E-1	1,268406E-2	1,884484E-2	1,013580E+0
18/11/2021  12:51:33,868838	9,385597E-1	-6,749322E-3	1,189434E-2	9,990210E-1
18/11/2021  12:51:33,869458	9,328524E-1	4,900218E-2	3,306178E-2	9,808468E-1
18/11/2021  12:51:33,870078	9,377371E-1	1,439390E-1	1,268936E-1	9,626189E-1
18/11/2021  12:51:33,870698	9,412837E-1	1,732484E-1	1,641736E-1	9,467369E-1
18/11/2021  12:51:33,871318	9,353142E-1	2,025577E-1	1,812339E-1	9,345809E-1
18/11/2021  12:51:33,871938	9,365391E-1	2,025577E-1	2,384176E-1	9,265729E-1
18/11/2021  12:51:33,872558	9,419751E-1	1,969282E-2	5,580889E-2	9,224241E-1
18/11/2021  12:51:33,873178	9,359341E-1	6,461260E-2	2,168823E-2	9,214844E-1
18/11/2021  12:51:33,873798	9,351502E-1	1,066652E-1	1,000394E-1	9,228805E-1
18/11/2021  12:51:33,874418	9,418082E-1	2,808078E-3	3,680107E-3	9,256694E-1
18/11/2021  12:51:33,875038	9,396594E-1	1,076209E-1	1,098333E-1	9,290899E-1
18/11/2021  12:51:33,875658	9,358476E-1	1,181340E-1	1,152041E-1	9,325789E-1
18/11/2021  12:51:33,876278	9,424758E-1	1,369303E-1	1,243661E-1	9,356980E-1
18/11/2021  12:51:33,876898	9,417665E-1	6,588692E-2	5,517702E-2	9,382166E-1
18/11/2021  12:51:33,877518	9,359996E-1	1,162226E-1	1,041465E-1	9,400813E-1
18/11/2021  12:51:33,878138	9,424728E-1	7,257710E-2	1,142563E-1	9,412815E-1
18/11/2021  12:51:33,878758	9,452564E-1	1,841850E-2	4,791059E-2	9,419102E-1
18/11/2021  12:51:33,879378	9,372663E-1	1,789828E-1	1,897641E-1	9,421650E-1
18/11/2021  12:51:33,879998	9,379607E-1	1,108067E-1	1,158360E-1	9,421524E-1
18/11/2021  12:51:33,880618	9,437603E-1	2,510868E-2	4,885838E-2	9,419034E-1
18/11/2021  12:51:33,881238	9,354870E-1	5,664810E-2	5,075397E-2	9,415038E-1
18/11/2021  12:51:33,881858	9,354751E-1	1,515849E-1	1,793383E-1	9,410031E-1
18/11/2021  12:51:33,882478	9,431941E-1	1,483991E-1	1,287892E-1	9,404050E-1
18/11/2021  12:51:33,883098	9,393763E-1	9,105474E-2	5,770448E-2	9,398116E-1
18/11/2021  12:51:33,883718	9,356271E-1	6,631038E-3	9,682815E-3	9,393346E-1
18/11/2021  12:51:33,884338	9,448988E-1	2,594380E-4	3,996039E-3	9,389930E-1
18/11/2021  12:51:33,884958	9,427381E-1	-5,914200E-5	2,100447E-3	9,388389E-1
18/11/2021  12:51:33,885578	9,356867E-1	5,780180E-4	3,048243E-3	9,389216E-1
