waveform	Bridge
t0	08/11/2021  11:54:00,019534
delta t	0,000500

time	Bridge
08/11/2021  11:54:00,019534	9,383719E-4
08/11/2021  11:54:00,020034	9,387326E-4
08/11/2021  11:54:00,020534	9,391975E-4
08/11/2021  11:54:00,021034	9,383213E-4
08/11/2021  11:54:00,021534	9,381633E-4
08/11/2021  11:54:00,022034	9,390872E-4
08/11/2021  11:54:00,022534	9,387951E-4
08/11/2021  11:54:00,023034	9,387832E-4
08/11/2021  11:54:00,023534	9,386342E-4
08/11/2021  11:54:00,024034	9,389531E-4
08/11/2021  11:54:00,024534	9,382199E-4
08/11/2021  11:54:00,025034	9,386491E-4
08/11/2021  11:54:00,025534	9,385329E-4
08/11/2021  11:54:00,026034	9,391587E-4
08/11/2021  11:54:00,026534	9,384196E-4
08/11/2021  11:54:00,027034	9,386968E-4
08/11/2021  11:54:00,027534	9,391200E-4
08/11/2021  11:54:00,028034	9,387534E-4
08/11/2021  11:54:00,028534	9,392392E-4
08/11/2021  11:54:00,029034	9,381991E-4
08/11/2021  11:54:00,029534	9,386521E-4
08/11/2021  11:54:00,030034	9,382408E-4
08/11/2021  11:54:00,030534	9,391140E-4
08/11/2021  11:54:00,031034	9,387564E-4
08/11/2021  11:54:00,031534	9,388697E-4
08/11/2021  11:54:00,032034	9,388995E-4
08/11/2021  11:54:00,032534	9,385686E-4
08/11/2021  11:54:00,033034	9,381842E-4
08/11/2021  11:54:00,033534	9,385806E-4
08/11/2021  11:54:00,034034	9,383362E-4
08/11/2021  11:54:00,034534	9,388398E-4
08/11/2021  11:54:00,035034	9,389591E-4
08/11/2021  11:54:00,035534	9,387028E-4
08/11/2021  11:54:00,036034	9,384405E-4
08/11/2021  11:54:00,036534	9,385299E-4
08/11/2021  11:54:00,037034	9,386014E-4
08/11/2021  11:54:00,037534	9,385090E-4
08/11/2021  11:54:00,038034	9,393882E-4
08/11/2021  11:54:00,038534	9,393197E-4
08/11/2021  11:54:00,039034	9,395253E-4
08/11/2021  11:54:00,039534	9,395670E-4
08/11/2021  11:54:00,040034	9,382229E-4
08/11/2021  11:54:00,040534	9,385150E-4
08/11/2021  11:54:00,041034	9,392213E-4
08/11/2021  11:54:00,041534	9,391647E-4
08/11/2021  11:54:00,042034	9,393972E-4
08/11/2021  11:54:00,042534	9,382825E-4
08/11/2021  11:54:00,043034	9,387415E-4
08/11/2021  11:54:00,043534	9,385329E-4
08/11/2021  11:54:00,044034	9,388100E-4
08/11/2021  11:54:00,044534	9,395313E-4
08/11/2021  11:54:00,045034	9,392780E-4
08/11/2021  11:54:00,045534	9,387802E-4
08/11/2021  11:54:00,046034	9,391528E-4
08/11/2021  11:54:00,046534	9,386610E-4
08/11/2021  11:54:00,047034	9,380560E-4
08/11/2021  11:54:00,047534	9,381633E-4
08/11/2021  11:54:00,048034	9,392124E-4
08/11/2021  11:54:00,048534	9,390723E-4
08/11/2021  11:54:00,049034	9,379994E-4
08/11/2021  11:54:00,049534	9,389650E-4
08/11/2021  11:54:00,050034	9,382617E-4
08/11/2021  11:54:00,050534	9,384852E-4
08/11/2021  11:54:00,051034	9,392064E-4
08/11/2021  11:54:00,051534	9,387087E-4
08/11/2021  11:54:00,052034	9,385776E-4
08/11/2021  11:54:00,052534	9,385239E-4
08/11/2021  11:54:00,053034	9,383481E-4
08/11/2021  11:54:00,053534	9,387564E-4
08/11/2021  11:54:00,054034	9,379100E-4
