waveform;Bridge;FTC1;FTC2;Bridge (Filtered)
t0;25/11/2021  09:57:09,298938;25/11/2021  09:57:09,298938;25/11/2021  09:57:09,298938;25/11/2021  09:57:09,298938
delta t;0,000620;0,000620;0,000620;0,000620

time;Bridge;FTC1;FTC2;Bridge (Filtered)
25/11/2021  09:57:09,298938;9,386282E-1;1,044459E+1;1,063061E-2;4,869206E-3
25/11/2021  09:57:09,299558;9,429407E-1;1,044459E+1;3,996039E-3;3,033488E-2
25/11/2021  09:57:09,300178;9,431672E-1;1,044459E+1;9,050951E-3;9,328963E-2
25/11/2021  09:57:09,300798;9,473099E-1;1,044459E+1;6,207563E-3;1,966845E-1
25/11/2021  09:57:09,301418;9,540483E-1;1,044459E+1;3,996039E-3;3,300330E-1
25/11/2021  09:57:09,302038;9,591059E-1;1,044459E+1;3,048243E-3;4,775315E-1
25/11/2021  09:57:09,302658;9,617017E-1;1,044459E+1;5,259767E-3;6,233803E-1
25/11/2021  09:57:09,303278;9,723623E-1;1,044459E+1;1,221027E-2;7,548370E-1
25/11/2021  09:57:09,303898;9,795180E-1;1,044459E+1;3,938042E-2;8,636280E-1
25/11/2021  09:57:09,304518;9,833119E-1;1,044459E+1;1,631739E-2;9,460701E-1
25/11/2021  09:57:09,305138;9,885721E-1;1,044459E+1;1,916077E-2;1,002310E+0
25/11/2021  09:57:09,305758;9,975667E-1;1,044459E+1;1,758111E-2;1,035273E+0
25/11/2021  09:57:09,306378;1,000210E+0;1,044459E+1;1,789705E-2;1,049596E+0
25/11/2021  09:57:09,306998;9,997333E-1;1,044459E+1;-7,429410E-4;1,050541E+0
25/11/2021  09:57:09,307618;1,002207E+0;1,044459E+1;1,505366E-2;1,043100E+0
25/11/2021  09:57:09,308238;1,001334E+0;1,044459E+1;1,847091E-1;1,031493E+0
25/11/2021  09:57:09,308858;9,947831E-1;1,044459E+1;1,237343E-1;1,018904E+0
25/11/2021  09:57:09,309478;9,911024E-1;1,044459E+1;4,222381E-2;1,007374E+0
25/11/2021  09:57:09,310098;9,888791E-1;1,044459E+1;1,294210E-1;9,979376E-1
25/11/2021  09:57:09,310718;9,854726E-1;1,044459E+1;1,910278E-1;9,909176E-1
25/11/2021  09:57:09,311338;9,800038E-1;1,044459E+1;2,140908E-1;9,861595E-1
25/11/2021  09:57:09,311958;9,809127E-1;1,044459E+1;1,284213E-2;9,832166E-1
25/11/2021  09:57:09,312578;9,760280E-1;1,044459E+1;9,845971E-2;9,815487E-1
25/11/2021  09:57:09,313198;9,721000E-1;1,044459E+1;1,789705E-2;9,806263E-1
25/11/2021  09:57:09,313818;9,696591E-1;1,044459E+1;5,575699E-3;9,799594E-1
25/11/2021  09:57:09,314438;9,693700E-1;1,044459E+1;1,221027E-2;9,791777E-1
25/11/2021  09:57:09,315058;9,669232E-1;1,044459E+1;3,364175E-3;9,780907E-1
25/11/2021  09:57:09,315678;9,642320E-1;1,044459E+1;3,680107E-3;9,766453E-1
25/11/2021  09:57:09,316298;9,659665E-1;1,044459E+1;3,680107E-3;9,748728E-1
25/11/2021  09:57:09,316918;9,641724E-1;1,044459E+1;4,311971E-3;9,728861E-1
25/11/2021  09:57:09,317538;9,603219E-1;1,044459E+1;3,364175E-3;9,708249E-1
25/11/2021  09:57:09,318158;9,582803E-1;1,044459E+1;1,663332E-2;9,687634E-1
25/11/2021  09:57:09,318778;9,599046E-1;1,044459E+1;1,031468E-2;9,667282E-1
25/11/2021  09:57:09,319398;9,576128E-1;1,044459E+1;5,891631E-3;9,647728E-1
25/11/2021  09:57:09,320018;9,547070E-1;1,044459E+1;3,996039E-3;9,629516E-1
25/11/2021  09:57:09,320638;9,567485E-1;1,044459E+1;5,259767E-3;9,612774E-1
25/11/2021  09:57:09,321258;9,546503E-1;1,044459E+1;3,048243E-3;9,597618E-1
25/11/2021  09:57:09,321878;9,498193E-1;1,044459E+1;4,943835E-3;9,584016E-1
25/11/2021  09:57:09,322498;9,489699E-1;1,044459E+1;3,680107E-3;9,571209E-1
