waveform	Bridge	FTC1	FTC2	Bridge (Filtered)	T_env	T_cell
t0	30/11/2021  16:35:59,731727	30/11/2021  16:35:59,731727	30/11/2021  16:35:59,731727	30/11/2021  16:35:59,731727	30/11/2021  16:35:59,076905	30/11/2021  16:35:59,076905
delta t	0,000100	0,000100	0,000100	0,000100	0,512821	0,512821

time	Bridge	FTC1	FTC2	Bridge (Filtered)	T_env	T_cell
30/11/2021  16:35:59,731727	9,442670E-1	1,337445E-1	1,332122E-1	2,752207E-5	1,077196E+2	1,084545E+2
30/11/2021  16:35:59,731827	9,433729E-1	1,914074E-1	2,017695E-1	1,891705E-4		
30/11/2021  16:35:59,731927	9,430063E-1	1,487177E-1	1,531159E-1	6,604189E-4		
30/11/2021  16:35:59,732027	9,436739E-1	1,260985E-1	1,300529E-1	1,621077E-3		
30/11/2021  16:35:59,732127	9,434504E-1	1,292843E-1	1,338441E-1	3,225913E-3		
30/11/2021  16:35:59,732227	9,434802E-1	9,328480E-2	7,128955E-2	5,606365E-3		
30/11/2021  16:35:59,732327	9,424848E-1	1,605052E-1	1,913437E-1	8,872105E-3		
30/11/2021  16:35:59,732427	9,424818E-1	1,586986E-2	1,821298E-2	1,311253E-2		
30/11/2021  16:35:59,732527	9,427858E-1	2,489498E-3	4,943835E-3	1,839830E-2		
30/11/2021  16:35:59,732627	9,423596E-1	6,631038E-3	8,735019E-3	2,478284E-2		
30/11/2021  16:35:59,732727	9,428484E-1	7,586778E-3	9,682815E-3	3,230375E-2		
30/11/2021  16:35:59,732827	9,431136E-1	3,445238E-3	5,575699E-3	4,098419E-2		
30/11/2021  16:35:59,732927	9,423536E-1	5,038138E-3	7,471291E-3	5,083408E-2		
30/11/2021  16:35:59,733027	9,423149E-1	8,223938E-3	1,094654E-2	6,185134E-2		
30/11/2021  16:35:59,733127	9,419125E-1	8,965980E-4	3,680107E-3	7,402293E-2		
30/11/2021  16:35:59,733227	9,416682E-1	3,763818E-3	5,575699E-3	8,732606E-2		
30/11/2021  16:35:59,733327	9,416234E-1	5,038138E-3	6,839427E-3	1,017292E-1		
30/11/2021  16:35:59,733427	9,414536E-1	2,170918E-3	4,627903E-3	1,171930E-1		
30/11/2021  16:35:59,733527	9,409678E-1	6,631038E-3	8,735019E-3	1,336715E-1		
30/11/2021  16:35:59,733627	9,397637E-1	7,586778E-3	9,050951E-3	1,511128E-1		
30/11/2021  16:35:59,733727	9,395492E-1	1,533758E-3	3,680107E-3	1,694599E-1		
30/11/2021  16:35:59,733827	9,378653E-1	8,861098E-3	9,998747E-3	1,886513E-1		
30/11/2021  16:35:59,733927	9,374928E-1	2,489498E-3	4,943835E-3	2,086221E-1		
30/11/2021  16:35:59,734027	9,373050E-1	1,533758E-3	3,996039E-3	2,293044E-1		
30/11/2021  16:35:59,734127	9,372782E-1	1,533758E-3	3,364175E-3	2,506282E-1		
30/11/2021  16:35:59,734227	9,369950E-1	1,215178E-3	3,364175E-3	2,725222E-1		
30/11/2021  16:35:59,734327	9,359132E-1	5,780180E-4	3,680107E-3	2,949141E-1		
30/11/2021  16:35:59,734427	9,353916E-1	1,215178E-3	3,048243E-3	3,177310E-1		
30/11/2021  16:35:59,734527	9,351651E-1	1,215178E-3	3,364175E-3	3,409003E-1		
30/11/2021  16:35:59,734627	9,347628E-1	8,965980E-4	3,048243E-3	3,643498E-1		
30/11/2021  16:35:59,734727	9,347002E-1	1,215178E-3	3,048243E-3	3,880081E-1		
30/11/2021  16:35:59,734827	9,347002E-1	1,533758E-3	3,680107E-3	4,118054E-1		
30/11/2021  16:35:59,734927	9,340147E-1	1,533758E-3	3,680107E-3	4,356732E-1		
30/11/2021  16:35:59,735027	9,333203E-1	1,215178E-3	3,364175E-3	4,595453E-1		
30/11/2021  16:35:59,735127	9,326319E-1	1,215178E-3	3,048243E-3	4,833573E-1		
30/11/2021  16:35:59,735227	9,317497E-1	1,533758E-3	2,732311E-3	5,070473E-1		
30/11/2021  16:35:59,735327	9,315441E-1	8,965980E-4	3,996039E-3	5,305558E-1		
30/11/2021  16:35:59,735427	9,319256E-1	8,965980E-4	3,680107E-3	5,538261E-1		
