waveform;Bridge;T_env;T_cell
t0;30/11/2021  10:11:02,868058;30/11/2021  10:11:03,390730;30/11/2021  10:11:03,390730
delta t;0,000500;0,005000;0,005000

time;Bridge;T_env;T_cell
30/11/2021  10:11:02,868058;9,447230E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,868558;9,453786E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,869058;9,452445E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,869558;9,449316E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,870058;9,454949E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,870558;9,449644E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,871058;9,462429E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,871558;9,449375E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,872058;9,455932E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,872558;9,457094E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,873058;9,457243E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,873558;9,453131E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,874058;9,457184E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,874558;9,456439E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,875058;9,449852E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,875558;9,453429E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,876058;9,455664E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,876558;9,452803E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,877058;9,452564E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,877558;9,447706E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,878058;9,450061E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,878558;9,459240E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,879058;9,450150E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,879558;9,451313E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,880058;9,450448E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,880558;9,450597E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,881058;9,456171E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,881558;9,450508E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,882058;9,453488E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,882558;9,448899E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,883058;9,447647E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,883558;9,450866E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,884058;9,443594E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,884558;9,444994E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,885058;9,441656E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,885558;9,443504E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,886058;9,453101E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,886558;9,451372E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,887058;9,445084E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,887558;9,440435E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,888058;9,451104E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,888558;9,442491E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,889058;9,448839E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,889558;9,449852E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,890058;9,445650E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,890558;9,454800E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,891058;9,452475E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,891558;9,462310E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,892058;9,459359E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,892558;9,455992E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,893058;9,450955E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,893558;9,451909E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,894058;9,455425E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,894558;9,458406E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,895058;9,449137E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,895558;9,449971E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,896058;9,450925E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,896558;9,451879E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,897058;9,455843E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,897558;9,448958E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,898058;9,454353E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,898558;9,449137E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,899058;9,450240E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,899558;9,449703E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,900058;9,450478E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,900558;9,451968E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,901058;9,447617E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,901558;9,450955E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,902058;9,450895E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,902558;9,449435E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,903058;9,448332E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,903558;9,447498E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,904058;9,451283E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,904558;9,442789E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,905058;9,436530E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,905558;9,444935E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,906058;9,445948E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,906558;9,451372E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,907058;9,448422E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,907558;9,445918E-4;1,076882E+2;1,080308E+2
30/11/2021  10:11:02,908058;9,442849E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,908558;9,452564E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,909058;9,451521E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,909558;9,451134E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,910058;9,442044E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,910558;9,446634E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,911058;9,449048E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,911558;9,455902E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,912058;9,453369E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,912558;9,455008E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,913058;9,453220E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,913558;9,448899E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,914058;9,456081E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,914558;9,440345E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,915058;9,451164E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,915558;9,450240E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,916058;9,459747E-4;1,076866E+2;1,080326E+2
30/11/2021  10:11:02,916558;9,448988E-4;1,076866E+2;1,080326E+2
