waveform;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
t0;02/12/2021  13:26:02,302443;02/12/2021  13:26:02,302443;02/12/2021  13:26:02,302443;02/12/2021  13:26:02,302443;02/12/2021  13:26:01,005333;02/12/2021  13:26:01,005333
delta t;0,000100;0,000100;0,000100;0,000100;0,512821;0,512821

time;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
02/12/2021  13:26:02,302443;9,400499E-1;1,311958E-1;1,341600E-1;2,739916E-5;1,080108E+2;1,087618E+2
02/12/2021  13:26:02,302543;9,402644E-1;1,388417E-1;1,464814E-1;1,883578E-4;;
02/12/2021  13:26:02,302643;9,393614E-1;1,162226E-1;1,310007E-1;6,576751E-4;;
02/12/2021  13:26:02,302743;9,400051E-1;1,088952E-1;1,322644E-1;1,614502E-3;;
02/12/2021  13:26:02,302843;9,408426E-1;1,289658E-1;1,325804E-1;3,213053E-3;;
02/12/2021  13:26:02,302943;9,409946E-1;1,426647E-1;1,433221E-1;5,584380E-3;;
02/12/2021  13:26:02,303043;9,403121E-1;1,404346E-1;1,401627E-1;8,837945E-3;;
02/12/2021  13:26:02,303143;9,395194E-1;1,200455E-1;1,060421E-1;1,306303E-2;;
02/12/2021  13:26:02,303243;9,399902E-1;1,305587E-1;1,287892E-1;1,833019E-2;;
02/12/2021  13:26:02,303343;9,401273E-1;1,359745E-1;1,575390E-1;2,469276E-2;;
02/12/2021  13:26:02,303443;9,402287E-1;1,334259E-1;1,379512E-1;3,218833E-2;;
02/12/2021  13:26:02,303543;9,393346E-1;1,254614E-1;1,246821E-1;4,084002E-2;;
02/12/2021  13:26:02,303643;9,392213E-1;1,053908E-1;1,060421E-1;5,065770E-2;;
02/12/2021  13:26:02,303743;9,390723E-1;8,563888E-2;1,079377E-1;6,163920E-2;;
02/12/2021  13:26:02,303843;9,407562E-1;1,490363E-1;1,411105E-1;7,377152E-2;;
02/12/2021  13:26:02,303943;9,397727E-1;1,190898E-1;1,180475E-1;8,703207E-2;;
02/12/2021  13:26:02,304043;9,392899E-1;7,130278E-2;1,711241E-1;1,013896E-1;;
02/12/2021  13:26:02,304143;9,393167E-1;1,044351E-1;1,120448E-1;1,168053E-1;;
02/12/2021  13:26:02,304243;9,389620E-1;1,267357E-1;1,183634E-1;1,332332E-1;;
02/12/2021  13:26:02,304343;9,395283E-1;1,194084E-1;1,215227E-1;1,506219E-1;;
02/12/2021  13:26:02,304443;9,401095E-1;1,171783E-1;1,123607E-1;1,689147E-1;;
02/12/2021  13:26:02,304543;9,394896E-1;1,286472E-1;1,281573E-1;1,880510E-1;;
02/12/2021  13:26:02,304643;9,392362E-1;1,311958E-1;1,300529E-1;2,079667E-1;;
02/12/2021  13:26:02,304743;9,406072E-1;1,375674E-1;1,436380E-1;2,285948E-1;;
02/12/2021  13:26:02,304843;9,413791E-1;1,232313E-1;1,401627E-1;2,498666E-1;;
02/12/2021  13:26:02,304943;9,408605E-1;1,200455E-1;1,259458E-1;2,717116E-1;;
02/12/2021  13:26:02,305043;9,404850E-1;1,162226E-1;1,073058E-1;2,940588E-1;;
02/12/2021  13:26:02,305143;9,403747E-1;2,031949E-1;1,739675E-1;3,168364E-1;;
02/12/2021  13:26:02,305243;9,410423E-1;1,340630E-1;1,313166E-1;3,399726E-1;;
02/12/2021  13:26:02,305343;9,416443E-1;1,369303E-1;1,407946E-1;3,633963E-1;;
02/12/2021  13:26:02,305443;9,411883E-1;1,190898E-1;1,382671E-1;3,870371E-1;;
02/12/2021  13:26:02,305543;9,404641E-1;1,171783E-1;1,202590E-1;4,108259E-1;;
02/12/2021  13:26:02,305643;9,409946E-1;1,216384E-1;1,287892E-1;4,346952E-1;;
