waveform;Bridge;T_env;T_cell
t0;02/12/2021  13:33:22,925033;02/12/2021  13:33:23,436736;02/12/2021  13:33:23,436736
delta t;0,000500;0,005000;0,005000

time;Bridge;T_env;T_cell
02/12/2021  13:33:22,925033;1,232033E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,925533;1,231249E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,926033;1,231353E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,926533;1,232060E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,927033;1,231282E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,927533;1,230966E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,928033;1,231040E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,928533;1,230975E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,929033;1,231073E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,929533;1,231726E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,930033;1,231711E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,930533;1,231625E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,931033;1,231911E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,931533;1,232280E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,932033;1,231490E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,932533;1,231374E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,933033;1,231341E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,933533;1,230459E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,934033;1,231318E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,934533;1,230999E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,935033;1,231034E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,935533;1,231177E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,936033;1,231565E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,936533;1,231660E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,937033;1,231505E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,937533;1,232006E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,938033;1,232098E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,938533;1,231490E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,939033;1,231461E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,939533;1,230099E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,940033;1,231049E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,940533;1,231139E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,941033;1,231401E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,941533;1,230578E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,942033;1,231419E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,942533;1,230909E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,943033;1,231028E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,943533;1,230459E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,944033;1,231639E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,944533;1,230963E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,945033;1,231723E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,945533;1,231046E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,946033;1,231115E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,946533;1,231240E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,947033;1,231031E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,947533;1,231550E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,948033;1,231583E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,948533;1,230567E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,949033;1,232396E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,949533;1,231863E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,950033;1,232137E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,950533;1,231678E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,951033;1,231502E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,951533;1,231920E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,952033;1,231473E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,952533;1,230438E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,953033;1,231985E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,953533;1,232715E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,954033;1,231243E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,954533;1,231827E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,955033;1,231997E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,955533;1,231201E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,956033;1,231929E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,956533;1,230102E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,957033;1,231288E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,957533;1,232158E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,958033;1,231693E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,958533;1,232581E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,959033;1,231657E-3;1,079721E+2;1,087559E+2
02/12/2021  13:33:22,959533;1,231872E-3;1,079721E+2;1,087559E+2
