waveform	Bridge	FTC1	FTC2	Bridge (Filtered)	T_env	T_cell
t0	30/11/2021  18:00:53,894790	30/11/2021  18:00:53,894790	30/11/2021  18:00:53,894790	30/11/2021  18:00:53,894790	30/11/2021  18:00:44,011587	30/11/2021  18:00:44,011587
delta t	0,000100	0,000100	0,000100	0,000100	0,512821	0,512821

time	Bridge	FTC1	FTC2	Bridge (Filtered)	T_env	T_cell
30/11/2021  18:00:53,894790	9,432686E-4	1,662396E-1	1,584868E-1	2,749297E-8	1,077086E+2	1,082556E+2
30/11/2021  18:00:53,894890	9,419841E-4	1,547707E-1	1,521681E-1	1,889591E-7		
30/11/2021  18:00:53,894990	9,399753E-4	1,213198E-1	1,041465E-1	6,595944E-7		
30/11/2021  18:00:53,895090	9,395909E-4	1,834429E-1	1,802861E-1	1,618729E-6		
30/11/2021  18:00:53,895190	9,390485E-4	1,401161E-1	1,597505E-1	3,220461E-6		
30/11/2021  18:00:53,895290	9,385865E-4	1,292843E-1	1,341600E-1	5,595465E-6		
30/11/2021  18:00:53,895390	9,366940E-4	1,353374E-1	1,373193E-1	8,852631E-6		
30/11/2021  18:00:53,895490	9,351622E-4	3,625898E-2	5,422923E-2	1,308052E-5		
30/11/2021  18:00:53,895590	9,350102E-4	1,369303E-1	1,357397E-1	1,834883E-5		
30/11/2021  18:00:53,895690	9,342949E-4	1,162226E-1	1,174156E-1	2,471000E-5		
30/11/2021  18:00:53,895790	9,335796E-4	1,127182E-1	9,593225E-2	3,220065E-5		
30/11/2021  18:00:53,895890	9,314636E-4	1,321516E-1	1,360556E-1	4,084290E-5		
30/11/2021  18:00:53,895990	9,307662E-4	1,109116E-2	1,347400E-2	5,064553E-5		
30/11/2021  18:00:53,896090	9,297231E-4	2,489498E-3	4,311971E-3	6,160523E-5		
30/11/2021  18:00:53,896190	9,289512E-4	7,268198E-3	9,998747E-3	7,370786E-5		
30/11/2021  18:00:53,896290	9,281436E-4	6,312458E-3	7,471291E-3	8,692954E-5		
30/11/2021  18:00:53,896390	9,265640E-4	7,268198E-3	9,998747E-3	1,012378E-4		
30/11/2021  18:00:53,896490	9,254494E-4	5,356718E-3	8,103155E-3	1,165924E-4		
30/11/2021  18:00:53,896590	9,242036E-4	3,126658E-3	6,207563E-3	1,329463E-4		
30/11/2021  18:00:53,896690	9,235867E-4	8,861098E-3	1,157841E-2	1,502469E-4		
30/11/2021  18:00:53,896790	9,223320E-4	7,586778E-3	9,366883E-3	1,684362E-4		
30/11/2021  18:00:53,896890	9,204246E-4	4,400978E-3	6,523495E-3	1,874524E-4		
30/11/2021  18:00:53,896990	9,188033E-4	5,356718E-3	8,103155E-3	2,072302E-4		
30/11/2021  18:00:53,897090	9,175665E-4	3,763818E-3	4,627903E-3	2,277011E-4		
30/11/2021  18:00:53,897190	9,178109E-4	4,400978E-3	5,891631E-3	2,487950E-4		
30/11/2021  18:00:53,897290	9,161627E-4	4,082398E-3	6,839427E-3	2,704401E-4		
30/11/2021  18:00:53,897390	9,147590E-4	5,356718E-3	7,471291E-3	2,925640E-4		
30/11/2021  18:00:53,897490	9,135878E-4	6,312458E-3	8,103155E-3	3,150938E-4		
30/11/2021  18:00:53,897590	9,136623E-4	3,445238E-3	5,575699E-3	3,379567E-4		
30/11/2021  18:00:53,897690	9,127861E-4	4,719558E-3	6,839427E-3	3,610808E-4		
30/11/2021  18:00:53,897790	9,117012E-4	1,852338E-3	3,364175E-3	3,843949E-4		
30/11/2021  18:00:53,897890	9,099399E-4	3,126658E-3	5,259767E-3	4,078294E-4		
30/11/2021  18:00:53,897990	9,096210E-4	2,489498E-3	4,311971E-3	4,313164E-4		
30/11/2021  18:00:53,898090	9,098773E-4	2,170918E-3	3,680107E-3	4,547896E-4		
30/11/2021  18:00:53,898190	9,099250E-4	4,082398E-3	5,891631E-3	4,781853E-4		
30/11/2021  18:00:53,898290	9,092842E-4	3,763818E-3	6,207563E-3	5,014425E-4		
30/11/2021  18:00:53,898390	9,074931E-4	1,215178E-3	3,364175E-3	5,245029E-4		
30/11/2021  18:00:53,898490	9,077732E-4	8,965980E-4	3,996039E-3	5,473107E-4		
30/11/2021  18:00:53,898590	9,082918E-4	1,533758E-3	3,364175E-3	5,698134E-4		
30/11/2021  18:00:53,898690	9,084050E-4	8,965980E-4	3,364175E-3	5,919615E-4		
30/11/2021  18:00:53,898790	9,081815E-4	1,215178E-3	3,680107E-3	6,137089E-4		
30/11/2021  18:00:53,898890	9,064649E-4	1,215178E-3	3,680107E-3	6,350126E-4		
30/11/2021  18:00:53,898990	9,067033E-4	5,780180E-4	3,364175E-3	6,558331E-4		
30/11/2021  18:00:53,899090	9,076480E-4	1,215178E-3	4,311971E-3	6,761340E-4		
30/11/2021  18:00:53,899190	9,081487E-4	8,965980E-4	3,680107E-3	6,958821E-4		
30/11/2021  18:00:53,899290	9,074334E-4	1,215178E-3	3,048243E-3	7,150480E-4		
30/11/2021  18:00:53,899390	9,070013E-4	1,215178E-3	3,048243E-3	7,336053E-4		
30/11/2021  18:00:53,899490	9,080146E-4	8,965980E-4	2,416379E-3	7,515310E-4		
30/11/2021  18:00:53,899590	9,086107E-4	1,215178E-3	3,680107E-3	7,688051E-4		
30/11/2021  18:00:53,899690	9,090756E-4	8,965980E-4	3,680107E-3	7,854110E-4		
30/11/2021  18:00:53,899790	9,082530E-4	1,533758E-3	3,364175E-3	8,013350E-4		
30/11/2021  18:00:53,899890	9,078954E-4	8,861098E-3	1,063061E-2	8,165663E-4		
30/11/2021  18:00:53,899990	9,084646E-4	1,109116E-2	1,221027E-2	8,310970E-4		
30/11/2021  18:00:53,900090	9,096419E-4	1,109116E-2	1,505366E-2	8,449217E-4		
30/11/2021  18:00:53,900190	9,099756E-4	1,395838E-2	1,663332E-2	8,580377E-4		
30/11/2021  18:00:53,900290	9,090994E-4	1,586986E-2	1,884484E-2	8,704450E-4		
30/11/2021  18:00:53,900390	9,092127E-4	1,523270E-2	1,758111E-2	8,821458E-4		
30/11/2021  18:00:53,900490	9,092604E-4	1,586986E-2	1,694925E-2	8,931443E-4		
30/11/2021  18:00:53,900590	9,103899E-4	3,880762E-2	3,874856E-2	9,034471E-4		
30/11/2021  18:00:53,900690	9,105240E-4	1,650702E-2	1,947671E-2	9,130624E-4		
30/11/2021  18:00:53,900790	9,096150E-4	1,746276E-2	2,074043E-2	9,220007E-4		
30/11/2021  18:00:53,900890	9,094988E-4	1,714418E-2	1,916077E-2	9,302738E-4		
30/11/2021  18:00:53,900990	9,099190E-4	1,586986E-2	1,789705E-2	9,378950E-4		
30/11/2021  18:00:53,901090	9,104048E-4	1,746276E-2	2,547941E-2	9,448792E-4		
30/11/2021  18:00:53,901190	9,112572E-4	1,682560E-2	1,884484E-2	9,512425E-4		
30/11/2021  18:00:53,901290	9,107744E-4	3,848904E-2	5,359736E-2	9,570023E-4		
30/11/2021  18:00:53,901390	9,114777E-4	8,277166E-2	8,076751E-2	9,621771E-4		
30/11/2021  18:00:53,901490	9,125447E-4	1,168597E-1	9,909157E-2	9,667863E-4		
30/11/2021  18:00:53,901590	9,136682E-4	8,978042E-2	1,057261E-1	9,708503E-4		
30/11/2021  18:00:53,901690	9,145295E-4	1,136739E-1	1,218387E-1	9,743903E-4		
30/11/2021  18:00:53,901790	9,140259E-4	1,267357E-1	1,193112E-1	9,774284E-4		
30/11/2021  18:00:53,901890	9,153163E-4	1,824872E-1	1,957668E-1	9,799868E-4		
30/11/2021  18:00:53,901990	9,165204E-4	1,691068E-1	2,131430E-1	9,820883E-4		
30/11/2021  18:00:53,902090	9,184367E-4	1,343816E-1	1,354238E-1	9,837562E-4		
30/11/2021  18:00:53,902190	9,194858E-4	1,143111E-1	1,227865E-1	9,850141E-4		
30/11/2021  18:00:53,902290	9,193040E-4	1,426647E-1	1,376353E-1	9,858856E-4		
30/11/2021  18:00:53,902390	9,212293E-4	2,519376E-1	2,324149E-1	9,863946E-4		
30/11/2021  18:00:53,902490	9,229608E-4	1,404346E-1	1,414265E-1	9,865649E-4		
30/11/2021  18:00:53,902590	9,244957E-4	1,369303E-1	1,360556E-1	9,864201E-4		
30/11/2021  18:00:53,902690	9,248950E-4	1,362931E-1	1,420583E-1	9,859838E-4		
30/11/2021  18:00:53,902790	9,253600E-4	2,223097E-1	2,134590E-1	9,852794E-4		
30/11/2021  18:00:53,902890	9,261289E-4	1,120810E-1	9,877564E-2	9,843297E-4		
30/11/2021  18:00:53,902990	9,277293E-4	1,066652E-1	1,114129E-1	9,831569E-4		
30/11/2021  18:00:53,903090	9,299437E-4	1,162226E-1	1,227865E-1	9,817828E-4		
30/11/2021  18:00:53,903190	9,300718E-4	1,069837E-1	1,142563E-1	9,802290E-4		
30/11/2021  18:00:53,903290	9,308407E-4	1,194084E-1	1,341600E-1	9,785161E-4		
30/11/2021  18:00:53,903390	9,325663E-4	1,136739E-1	1,199431E-1	9,766644E-4		
30/11/2021  18:00:53,903490	9,340147E-4	1,219570E-1	1,385831E-1	9,746933E-4		
30/11/2021  18:00:53,903590	9,353201E-4	1,073023E-1	1,186794E-1	9,726217E-4		
30/11/2021  18:00:53,903690	9,357403E-4	1,044351E-1	1,016190E-1	9,704676E-4		
30/11/2021  18:00:53,903790	9,362380E-4	5,441804E-2	4,980618E-2	9,682484E-4		
30/11/2021  18:00:53,903890	9,380232E-4	1,533758E-3	-4,270090E-4	9,659804E-4		
30/11/2021  18:00:53,903990	9,389084E-4	1,241871E-1	1,588027E-1	9,636793E-4		
30/11/2021  18:00:53,904090	9,404045E-4	1,002936E-1	1,186794E-1	9,613600E-4		
30/11/2021  18:00:53,904190	9,402167E-4	1,031608E-1	1,107811E-1	9,590363E-4		
30/11/2021  18:00:53,904290	9,406340E-4	9,965640E-2	1,155200E-1	9,567214E-4		
30/11/2021  18:00:53,904390	9,418470E-4	7,002846E-2	5,138584E-2	9,544275E-4		
30/11/2021  18:00:53,904490	9,436530E-4	8,468314E-2	8,992954E-2	9,521657E-4		
30/11/2021  18:00:53,904590	9,445173E-4	7,353284E-2	5,960007E-2	9,499466E-4		
30/11/2021  18:00:53,904690	9,443147E-4	1,108067E-1	1,193112E-1	9,477798E-4		
30/11/2021  18:00:53,904790	9,445173E-4	1,225942E-1	1,234183E-1	9,456743E-4		
30/11/2021  18:00:53,904890	9,452445E-4	1,092138E-1	8,455870E-2	9,436380E-4		
30/11/2021  18:00:53,904990	9,469105E-4	2,656366E-1	2,355742E-1	9,416778E-4		
30/11/2021  18:00:53,905090	9,482576E-4	1,108067E-1	7,792413E-2	9,398001E-4		
30/11/2021  18:00:53,905190	9,482516E-4	1,729298E-1	1,521681E-1	9,380106E-4		
30/11/2021  18:00:53,905290	9,485974E-4	1,442576E-1	1,183634E-1	9,363144E-4		
30/11/2021  18:00:53,905390	9,499683E-4	1,560451E-1	1,559593E-1	9,347158E-4		
30/11/2021  18:00:53,905490	9,513273E-4	1,493549E-1	1,682807E-1	9,332182E-4		
30/11/2021  18:00:53,905590	9,525582E-4	1,178155E-1	1,158360E-1	9,318247E-4		
30/11/2021  18:00:53,905690	9,520575E-4	1,210013E-1	1,281573E-1	9,305379E-4		
30/11/2021  18:00:53,905790	9,529069E-4	1,633724E-1	1,866047E-1	9,293596E-4		
30/11/2021  18:00:53,905890	9,540632E-4	1,624167E-1	1,685966E-1	9,282911E-4		
30/11/2021  18:00:53,905990	9,549871E-4	1,073023E-1	1,170997E-1	9,273330E-4		
30/11/2021  18:00:53,906090	9,559259E-4	1,251428E-1	1,224705E-1	9,264857E-4		
30/11/2021  18:00:53,906190	9,550735E-4	-6,430742E-3	6,207563E-3	9,257490E-4		
30/11/2021  18:00:53,906290	9,553149E-4	8,277166E-2	8,361090E-2	9,251220E-4		
30/11/2021  18:00:53,906390	9,565637E-4	1,238685E-1	1,379512E-1	9,246035E-4		
