waveform;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
t0;30/11/2021  18:04:16,928042;30/11/2021  18:04:16,928042;30/11/2021  18:04:16,928042;30/11/2021  18:04:16,928042;30/11/2021  18:04:13,980846;30/11/2021  18:04:13,980846
delta t;0,000100;0,000100;0,000100;0,000100;0,512821;0,512821

time;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
30/11/2021  18:04:16,928042;9,220578E-4;1,413904E-1;1,502726E-1;2,687475E-8;1,077244E+2;1,082431E+2
30/11/2021  18:04:16,928142;9,225257E-4;1,318330E-1;1,382671E-1;1,847603E-7;;
30/11/2021  18:04:16,928242;9,219594E-4;1,375674E-1;1,360556E-1;6,451485E-7;;
30/11/2021  18:04:16,928342;9,209640E-4;1,053908E-1;8,708615E-2;1,583797E-6;;
30/11/2021  18:04:16,928442;9,217389E-4;1,459554E-2;2,042450E-2;3,151895E-6;;
30/11/2021  18:04:16,928542;9,221353E-4;1,605052E-1;1,802861E-1;5,477787E-6;;
30/11/2021  18:04:16,928642;9,233959E-4;1,098510E-1;1,237343E-1;8,668691E-6;;
30/11/2021  18:04:16,928742;9,219565E-4;1,611423E-1;1,575390E-1;1,281223E-5;;
30/11/2021  18:04:16,928842;9,218939E-4;1,210013E-1;1,294210E-1;1,797775E-5;;
30/11/2021  18:04:16,928942;9,224303E-4;2,140266E-1;1,641736E-1;2,421765E-5;;
30/11/2021  18:04:16,929042;9,236165E-4;1,280100E-1;1,161519E-1;3,156888E-5;;
30/11/2021  18:04:16,929142;9,244092E-4;1,066652E-1;7,571260E-2;4,005437E-5;;
30/11/2021  18:04:16,929242;9,234645E-4;1,423461E-1;1,310007E-1;4,968424E-5;;
30/11/2021  18:04:16,929342;9,231456E-4;1,327887E-1;1,366875E-1;6,045683E-5;;
30/11/2021  18:04:16,929442;9,235390E-4;1,187712E-1;9,308886E-2;7,235971E-5;;
30/11/2021  18:04:16,929542;9,247013E-4;2,994061E-1;2,659037E-1;8,537095E-5;;
30/11/2021  18:04:16,929642;9,255060E-4;7,894870E-2;6,813023E-2;9,946020E-5;;
30/11/2021  18:04:16,929742;9,243794E-4;1,331073E-1;1,344760E-1;1,145897E-4;;
30/11/2021  18:04:16,929842;9,247520E-4;1,270543E-1;1,183634E-1;1,307150E-4;;
30/11/2021  18:04:16,929942;9,259590E-4;1,292843E-1;1,354238E-1;1,477860E-4;;
30/11/2021  18:04:16,930042;9,269216E-4;1,302401E-1;1,565912E-1;1,657475E-4;;
30/11/2021  18:04:16,930142;9,271392E-4;1,168597E-1;1,202590E-1;1,845406E-4;;
30/11/2021  18:04:16,930242;9,262004E-4;6,238254E-2;6,275939E-2;2,041029E-4;;
30/11/2021  18:04:16,930342;9,264001E-4;7,767438E-2;1,205749E-1;2,243692E-4;;
30/11/2021  18:04:16,930442;9,269961E-4;2,006463E-1;2,017695E-1;2,452720E-4;;
