waveform;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
t0;20/12/2021  12:14:21,323160;20/12/2021  12:14:21,323160;20/12/2021  12:14:21,323160;20/12/2021  12:14:21,323160;20/12/2021  12:14:18,736794;20/12/2021  12:14:18,736794
delta t;0,000100;0,000100;0,000100;0,000100;0,512821;0,512821

time;Bridge;FTC1;FTC2;Bridge (Filtered);T_env;T_cell
20/12/2021  12:14:21,323160;9,741892E-4;1,044459E+1;9,366883E-3;2,839420E-8;1,081808E+2;1,086697E+2
20/12/2021  12:14:21,323260;9,744604E-4;1,044459E+1;8,103155E-3;1,951998E-7;;
20/12/2021  12:14:21,323360;9,747167E-4;1,044459E+1;3,680107E-3;6,816042E-7;;
20/12/2021  12:14:21,323460;9,752293E-4;1,044459E+1;3,680107E-3;1,673403E-6;;
20/12/2021  12:14:21,323560;9,747495E-4;1,044459E+1;3,680107E-3;3,330588E-6;;
20/12/2021  12:14:21,323660;9,745975E-4;1,044459E+1;7,787223E-3;5,789013E-6;;
20/12/2021  12:14:21,323760;9,743501E-4;1,044459E+1;3,048243E-3;9,162016E-6;;
20/12/2021  12:14:21,323860;9,749462E-4;1,044459E+1;3,048243E-3;1,354205E-5;;
20/12/2021  12:14:21,323960;9,752710E-4;1,044459E+1;3,680107E-3;1,900231E-5;;
20/12/2021  12:14:21,324060;9,753694E-4;1,044459E+1;5,259767E-3;2,559827E-5;;
20/12/2021  12:14:21,324160;9,750773E-4;1,044459E+1;3,048243E-3;3,336904E-5;;
20/12/2021  12:14:21,324260;9,752740E-4;1,044459E+1;3,364175E-3;4,233874E-5;;
20/12/2021  12:14:21,324360;9,747703E-4;1,044459E+1;3,048243E-3;5,251777E-5;;
20/12/2021  12:14:21,324460;9,753575E-4;1,044459E+1;3,048243E-3;6,390407E-5;;
20/12/2021  12:14:21,324560;9,757687E-4;1,044459E+1;3,680107E-3;7,648438E-5;;
20/12/2021  12:14:21,324660;9,772529E-4;1,044459E+1;3,680107E-3;9,023548E-5;;
20/12/2021  12:14:21,324760;9,775897E-4;1,044459E+1;3,364175E-3;1,051253E-4;;
20/12/2021  12:14:21,324860;9,783855E-4;1,044459E+1;3,364175E-3;1,211140E-4;;
20/12/2021  12:14:21,324960;9,787341E-4;1,044459E+1;3,680107E-3;1,381548E-4;;
20/12/2021  12:14:21,325060;9,787848E-4;1,044459E+1;3,680107E-3;1,561950E-4;;
20/12/2021  12:14:21,325160;9,783407E-4;1,044459E+1;3,364175E-3;1,751765E-4;;
20/12/2021  12:14:21,325260;9,782454E-4;1,044459E+1;3,680107E-3;1,950369E-4;;
20/12/2021  12:14:21,325360;9,782007E-4;1,044459E+1;3,680107E-3;2,157100E-4;;
20/12/2021  12:14:21,325460;9,784421E-4;1,044459E+1;3,048243E-3;2,371266E-4;;
20/12/2021  12:14:21,325560;9,781947E-4;1,044459E+1;2,732311E-3;2,592152E-4;;
20/12/2021  12:14:21,325660;9,775122E-4;1,044459E+1;7,471291E-3;2,819030E-4;;
20/12/2021  12:14:21,325760;9,770533E-4;1,044459E+1;9,682815E-3;3,051156E-4;;
20/12/2021  12:14:21,325860;9,762992E-4;1,044459E+1;3,680107E-3;3,287784E-4;;
20/12/2021  12:14:21,325960;9,754916E-4;1,044459E+1;9,366883E-3;3,528163E-4;;
20/12/2021  12:14:21,326060;9,753485E-4;1,044459E+1;1,505366E-2;3,771549E-4;;
20/12/2021  12:14:21,326160;9,757926E-4;1,044459E+1;1,410586E-2;4,017204E-4;;
20/12/2021  12:14:21,326260;9,761145E-4;1,044459E+1;5,891631E-3;4,264404E-4;;
20/12/2021  12:14:21,326360;9,770711E-4;1,044459E+1;1,378993E-2;4,512443E-4;;
20/12/2021  12:14:21,326460;9,769102E-4;1,044459E+1;2,137230E-2;4,760636E-4;;
20/12/2021  12:14:21,326560;9,774198E-4;1,044459E+1;1,221027E-2;5,008318E-4;;
20/12/2021  12:14:21,326660;9,770682E-4;1,044459E+1;9,682815E-3;5,254854E-4;;
20/12/2021  12:14:21,326760;9,761562E-4;1,044459E+1;1,536959E-2;5,499629E-4;;
20/12/2021  12:14:21,326860;9,760817E-4;1,044459E+1;1,347400E-2;5,742061E-4;;
20/12/2021  12:14:21,326960;9,759207E-4;1,044459E+1;1,442179E-2;5,981591E-4;;
20/12/2021  12:14:21,327060;9,754111E-4;1,044459E+1;1,410586E-2;6,217695E-4;;
20/12/2021  12:14:21,327160;9,746034E-4;1,044459E+1;1,252620E-2;6,449878E-4;;
20/12/2021  12:14:21,327260;9,739984E-4;1,044459E+1;1,600145E-2;6,677677E-4;;
20/12/2021  12:14:21,327360;9,731610E-4;1,044459E+1;1,789705E-2;6,900661E-4;;
20/12/2021  12:14:21,327460;9,715844E-4;1,044459E+1;1,157841E-2;7,118430E-4;;
20/12/2021  12:14:21,327560;9,711135E-4;1,044459E+1;1,726518E-2;7,330619E-4;;
20/12/2021  12:14:21,327660;9,702164E-4;1,044459E+1;1,852891E-2;7,536891E-4;;
20/12/2021  12:14:21,327760;9,697843E-4;1,044459E+1;1,758111E-2;7,736946E-4;;
20/12/2021  12:14:21,327860;9,692419E-4;1,044459E+1;2,137230E-2;7,930514E-4;;
20/12/2021  12:14:21,327960;9,687650E-4;1,044459E+1;1,536959E-2;8,117360E-4;;
20/12/2021  12:14:21,328060;9,687263E-4;1,044459E+1;1,473773E-2;8,297280E-4;;
20/12/2021  12:14:21,328160;9,676206E-4;1,044459E+1;1,284213E-2;8,470102E-4;;
20/12/2021  12:14:21,328260;9,667265E-4;1,044459E+1;1,663332E-2;8,635683E-4;;
20/12/2021  12:14:21,328360;9,663808E-4;1,044459E+1;1,663332E-2;8,793913E-4;;
20/12/2021  12:14:21,328460;9,659755E-4;1,044459E+1;1,631739E-2;8,944707E-4;;
20/12/2021  12:14:21,328560;9,656924E-4;1,044459E+1;1,726518E-2;9,088009E-4;;
20/12/2021  12:14:21,328660;9,646940E-4;1,044459E+1;1,442179E-2;9,223790E-4;;
20/12/2021  12:14:21,328760;9,637820E-4;1,044459E+1;1,631739E-2;9,352047E-4;;
20/12/2021  12:14:21,328860;9,623514E-4;1,044459E+1;1,663332E-2;9,472799E-4;;
20/12/2021  12:14:21,328960;9,616064E-4;1,044459E+1;1,694925E-2;9,586087E-4;;
20/12/2021  12:14:21,329060;9,598957E-4;1,044459E+1;1,726518E-2;9,691975E-4;;
20/12/2021  12:14:21,329160;9,594248E-4;1,044459E+1;2,326789E-2;9,790541E-4;;
20/12/2021  12:14:21,329260;9,585754E-4;1,044459E+1;1,758111E-2;9,881888E-4;;
20/12/2021  12:14:21,329360;9,575532E-4;1,044459E+1;1,852891E-2;9,966131E-4;;
20/12/2021  12:14:21,329460;9,566680E-4;1,044459E+1;1,726518E-2;1,004340E-3;;
20/12/2021  12:14:21,329560;9,561584E-4;1,044459E+1;1,821298E-2;1,011386E-3;;
20/12/2021  12:14:21,329660;9,556368E-4;1,044459E+1;1,600145E-2;1,017765E-3;;
20/12/2021  12:14:21,329760;9,549305E-4;1,044459E+1;1,663332E-2;1,023497E-3;;
20/12/2021  12:14:21,329860;9,535834E-4;1,044459E+1;1,726518E-2;1,028599E-3;;
20/12/2021  12:14:21,329960;9,523227E-4;1,044459E+1;1,536959E-2;1,033091E-3;;
20/12/2021  12:14:21,330060;9,514048E-4;1,044459E+1;1,631739E-2;1,036995E-3;;
20/12/2021  12:14:21,330160;9,498968E-4;1,044459E+1;1,726518E-2;1,040330E-3;;
20/12/2021  12:14:21,330260;9,485497E-4;1,044459E+1;1,631739E-2;1,043119E-3;;
20/12/2021  12:14:21,330360;9,467853E-4;1,044459E+1;1,821298E-2;1,045385E-3;;
20/12/2021  12:14:21,330460;9,450717E-4;1,044459E+1;1,726518E-2;1,047149E-3;;
20/12/2021  12:14:21,330560;9,435338E-4;1,044459E+1;1,947671E-2;1,048434E-3;;
20/12/2021  12:14:21,330660;9,412092E-4;1,044459E+1;1,378993E-2;1,049264E-3;;
20/12/2021  12:14:21,330760;9,402495E-4;1,044459E+1;1,758111E-2;1,049660E-3;;
20/12/2021  12:14:21,330860;9,378146E-4;1,044459E+1;1,505366E-2;1,049647E-3;;
20/12/2021  12:14:21,330960;9,368311E-4;1,044459E+1;1,095173E-1;1,049246E-3;;
20/12/2021  12:14:21,331060;9,354870E-4;1,044459E+1;1,088855E-1;1,048481E-3;;
20/12/2021  12:14:21,331160;9,345035E-4;1,044459E+1;1,199431E-1;1,047373E-3;;
20/12/2021  12:14:21,331260;9,337674E-4;1,044459E+1;1,231024E-1;1,045945E-3;;
20/12/2021  12:14:21,331360;9,330700E-4;1,044459E+1;1,057261E-1;1,044220E-3;;
20/12/2021  12:14:21,331460;9,307424E-4;1,044459E+1;1,281573E-1;1,042218E-3;;
20/12/2021  12:14:21,331560;9,300927E-4;1,044459E+1;1,196272E-1;1,039963E-3;;
20/12/2021  12:14:21,331660;9,289214E-4;1,044459E+1;1,291051E-1;1,037473E-3;;
20/12/2021  12:14:21,331760;9,278664E-4;1,044459E+1;1,133085E-1;1,034771E-3;;
20/12/2021  12:14:21,331860;9,259739E-4;1,044459E+1;1,265777E-1;1,031877E-3;;
20/12/2021  12:14:21,331960;9,245761E-4;1,044459E+1;1,073058E-1;1,028809E-3;;
20/12/2021  12:14:21,332060;9,237953E-4;1,044459E+1;7,318515E-2;1,025586E-3;;
20/12/2021  12:14:21,332160;9,216435E-4;1,044459E+1;1,107811E-1;1,022227E-3;;
20/12/2021  12:14:21,332260;9,205378E-4;1,044459E+1;1,189953E-1;1,018748E-3;;
20/12/2021  12:14:21,332360;9,193248E-4;1,044459E+1;1,553275E-1;1,015168E-3;;
20/12/2021  12:14:21,332460;9,178556E-4;1,044459E+1;6,655058E-2;1,011501E-3;;
20/12/2021  12:14:21,332560;9,166932E-4;1,044459E+1;1,297370E-1;1,007763E-3;;
20/12/2021  12:14:21,332660;9,165293E-4;1,044459E+1;1,139404E-1;1,003969E-3;;
20/12/2021  12:14:21,332760;9,159333E-4;1,044459E+1;1,553275E-1;1,000132E-3;;
20/12/2021  12:14:21,332860;9,156680E-4;1,044459E+1;1,268936E-1;9,962668E-4;;
20/12/2021  12:14:21,332960;9,144938E-4;1,044459E+1;1,126766E-1;9,923854E-4;;
20/12/2021  12:14:21,333060;9,138113E-4;1,044459E+1;1,884484E-2;9,885000E-4;;
20/12/2021  12:14:21,333160;9,124284E-4;1,044459E+1;1,528000E-1;9,846224E-4;;
20/12/2021  12:14:21,333260;9,127265E-4;1,044459E+1;1,218387E-1;9,807631E-4;;
20/12/2021  12:14:21,333360;9,119009E-4;1,044459E+1;1,025668E-1;9,769325E-4;;
20/12/2021  12:14:21,333460;9,113943E-4;1,044459E+1;9,593225E-2;9,731398E-4;;
