waveform	Bridge	FTC1	FTC2	Bridge (Filtered)	T_env	T_cell
t0	20/12/2021  12:44:17,504980	20/12/2021  12:44:17,504980	20/12/2021  12:44:17,504980	20/12/2021  12:44:17,504980	20/12/2021  12:44:14,902238	20/12/2021  12:44:14,902238
delta t	0,000100	0,000100	0,000100	0,000100	0,512821	0,512821

time	Bridge	FTC1	FTC2	Bridge (Filtered)	T_env	T_cell
20/12/2021  12:44:17,504980	9,669441E-4	1,375674E-1	1,373193E-1	2,818303E-8	1,083374E+2	1,087591E+2
20/12/2021  12:44:17,505080	9,674925E-4	1,184526E-1	1,253139E-1	1,937562E-7		
20/12/2021  12:44:17,505180	9,681660E-4	1,493549E-1	1,594346E-1	6,766032E-7		
20/12/2021  12:44:17,505280	9,676266E-4	1,407532E-1	1,407946E-1	1,661207E-6		
20/12/2021  12:44:17,505380	9,669679E-4	1,280100E-1	1,319485E-1	3,306375E-6		
20/12/2021  12:44:17,505480	9,657102E-4	1,222756E-1	1,275255E-1	5,746832E-6		
20/12/2021  12:44:17,505580	9,646701E-4	1,429833E-1	1,423743E-1	9,094796E-6		
20/12/2021  12:44:17,505680	9,639608E-4	8,965980E-4	3,364175E-3	1,344159E-5		
20/12/2021  12:44:17,505780	9,644496E-4	1,215178E-3	3,048243E-3	1,885925E-5		
20/12/2021  12:44:17,505880	9,645271E-4	8,965980E-4	3,048243E-3	2,540219E-5		
20/12/2021  12:44:17,505980	9,639399E-4	7,586778E-3	9,682815E-3	3,310867E-5		
20/12/2021  12:44:17,506080	9,633469E-4	8,542518E-3	1,031468E-2	4,200207E-5		
20/12/2021  12:44:17,506180	9,629266E-4	1,852338E-3	3,680107E-3	5,209217E-5		
20/12/2021  12:44:17,506280	9,609835E-4	6,312458E-3	7,155359E-3	6,337632E-5		
20/12/2021  12:44:17,506380	9,606199E-4	5,038138E-3	7,787223E-3	7,584063E-5		
20/12/2021  12:44:17,506480	9,602891E-4	8,542518E-3	1,063061E-2	8,946107E-5		
20/12/2021  12:44:17,506580	9,605484E-4	6,631038E-3	8,735019E-3	1,042047E-4		
20/12/2021  12:44:17,506680	9,610341E-4	3,126658E-3	5,891631E-3	1,200309E-4		
20/12/2021  12:44:17,506780	9,612308E-4	1,852338E-3	4,311971E-3	1,368923E-4		
20/12/2021  12:44:17,506880	9,603308E-4	1,533758E-3	4,311971E-3	1,547356E-4		
20/12/2021  12:44:17,506980	9,603904E-4	1,533758E-3	3,680107E-3	1,735025E-4		
20/12/2021  12:44:17,507080	9,594754E-4	3,126658E-3	5,259767E-3	1,931303E-4		
20/12/2021  12:44:17,507180	9,586588E-4	1,533758E-3	3,680107E-3	2,135527E-4		
20/12/2021  12:44:17,507280	9,593533E-4	1,215178E-3	3,364175E-3	2,347007E-4		
20/12/2021  12:44:17,507380	9,597526E-4	1,215178E-3	3,680107E-3	2,565030E-4		
20/12/2021  12:44:17,507480	9,601073E-4	8,965980E-4	3,048243E-3	2,788870E-4		
20/12/2021  12:44:17,507580	9,609179E-4	5,780180E-4	3,364175E-3	3,017794E-4		
20/12/2021  12:44:17,507680	9,602861E-4	6,312458E-3	8,103155E-3	3,251065E-4		
20/12/2021  12:44:17,507780	9,595261E-4	5,780180E-4	3,680107E-3	3,487948E-4		
20/12/2021  12:44:17,507880	9,582029E-4	8,965980E-4	3,364175E-3	3,727711E-4		
20/12/2021  12:44:17,507980	9,574935E-4	2,170918E-3	4,311971E-3	3,969628E-4		
20/12/2021  12:44:17,508080	9,568289E-4	8,965980E-4	3,364175E-3	4,212988E-4		
20/12/2021  12:44:17,508180	9,558693E-4	1,533758E-3	4,627903E-3	4,457091E-4		
20/12/2021  12:44:17,508280	9,549215E-4	8,965980E-4	3,364175E-3	4,701259E-4		
20/12/2021  12:44:17,508380	9,541079E-4	1,533758E-3	3,364175E-3	4,944831E-4		
20/12/2021  12:44:17,508480	9,529337E-4	5,780180E-4	2,732311E-3	5,187171E-4		
20/12/2021  12:44:17,508580	9,519383E-4	2,170918E-3	3,680107E-3	5,427670E-4		
20/12/2021  12:44:17,508680	9,504064E-4	5,780180E-4	3,048243E-3	5,665743E-4		
20/12/2021  12:44:17,508780	9,495510E-4	1,215178E-3	3,048243E-3	5,900836E-4		
20/12/2021  12:44:17,508880	9,498878E-4	6,631038E-3	9,682815E-3	6,132422E-4		
20/12/2021  12:44:17,508980	9,494348E-4	5,780180E-4	4,311971E-3	6,360009E-4		
20/12/2021  12:44:17,509080	9,499504E-4	1,215178E-3	2,416379E-3	6,583140E-4		
20/12/2021  12:44:17,509180	9,500041E-4	8,965980E-4	3,996039E-3	6,801390E-4		
20/12/2021  12:44:17,509280	9,501650E-4	1,332122E-2	1,631739E-2	7,014371E-4		
20/12/2021  12:44:17,509380	9,496136E-4	7,586778E-3	1,094654E-2	7,221730E-4		
20/12/2021  12:44:17,509480	9,488417E-4	8,965980E-4	3,364175E-3	7,423147E-4		
20/12/2021  12:44:17,509580	9,488894E-4	1,077258E-2	1,315807E-2	7,618335E-4		
