waveform;Bridge;FTC1;FTC2;Bridge (Filtered)
t0;19/11/2021  10:56:45,752199;19/11/2021  10:56:45,752199;19/11/2021  10:56:45,752199;19/11/2021  10:56:45,752199
delta t;0,000620;0,000620;0,000620;0,000620

time;Bridge;FTC1;FTC2;Bridge (Filtered)
19/11/2021  10:56:45,752199;9,377193E-1;1,044459E+1;8,367190E-4;4,864490E-3
19/11/2021  10:56:45,752819;9,363275E-1;1,044459E+1;3,364175E-3;3,027593E-2
19/11/2021  10:56:45,753439;9,344022E-1;1,044459E+1;4,943835E-3;9,300404E-2
19/11/2021  10:56:45,754059;9,286323E-1;1,044459E+1;6,839427E-3;1,958075E-1
19/11/2021  10:56:45,754679;9,239056E-1;1,044459E+1;6,839427E-3;3,279288E-1
19/11/2021  10:56:45,755299;9,210385E-1;1,044459E+1;7,471291E-3;4,732272E-1
19/11/2021  10:56:45,755919;9,202666E-1;1,044459E+1;4,943835E-3;6,156543E-1
19/11/2021  10:56:45,756539;9,204097E-1;1,044459E+1;4,311971E-3;7,424378E-1
19/11/2021  10:56:45,757159;9,181595E-1;1,044459E+1;2,732311E-3;8,454161E-1
19/11/2021  10:56:45,757779;9,178645E-1;1,044459E+1;3,048243E-3;9,210653E-1
19/11/2021  10:56:45,758399;9,197719E-1;1,044459E+1;3,996039E-3;9,697905E-1
19/11/2021  10:56:45,759019;9,249576E-1;1,044459E+1;9,366883E-3;9,949000E-1
19/11/2021  10:56:45,759639;9,298036E-1;1,044459E+1;1,821298E-2;1,001474E+0
19/11/2021  10:56:45,760259;9,324262E-1;1,044459E+1;1,378993E-2;9,952517E-1
19/11/2021  10:56:45,760879;9,376239E-1;1,044459E+1;1,442179E-2;9,817089E-1
19/11/2021  10:56:45,761499;9,439123E-1;1,044459E+1;1,884484E-2;9,654739E-1
19/11/2021  10:56:45,762119;9,508862E-1;1,044459E+1;8,419087E-3;9,500724E-1
19/11/2021  10:56:45,762739;9,546623E-1;1,044459E+1;1,189434E-2;9,378476E-1
19/11/2021  10:56:45,763359;9,562120E-1;1,044459E+1;1,631739E-2;9,299822E-1
19/11/2021  10:56:45,763979;9,615855E-1;1,044459E+1;1,016190E-1;9,266628E-1
19/11/2021  10:56:45,764599;9,628134E-1;1,044459E+1;9,814378E-2;9,273840E-1
19/11/2021  10:56:45,765219;9,613054E-1;1,044459E+1;1,025668E-1;9,312220E-1
19/11/2021  10:56:45,765839;9,637909E-1;1,044459E+1;1,752312E-1;9,370413E-1
19/11/2021  10:56:45,766459;9,635734E-1;1,044459E+1;1,193112E-1;9,437268E-1
19/11/2021  10:56:45,767079;9,647029E-1;1,044459E+1;8,392683E-2;9,503611E-1
19/11/2021  10:56:45,767699;9,620951E-1;1,044459E+1;9,940750E-2;9,562735E-1
19/11/2021  10:56:45,768319;9,605513E-1;1,044459E+1;2,137230E-2;9,610171E-1
19/11/2021  10:56:45,768939;9,600268E-1;1,044459E+1;1,726518E-2;9,643513E-1
19/11/2021  10:56:45,769559;9,550080E-1;1,044459E+1;1,758111E-2;9,662233E-1
19/11/2021  10:56:45,770179;9,527579E-1;1,044459E+1;1,347400E-2;9,667026E-1
19/11/2021  10:56:45,770799;9,481682E-1;1,044459E+1;1,347400E-2;9,659256E-1
19/11/2021  10:56:45,771419;9,420258E-1;1,044459E+1;6,839427E-3;9,640605E-1
19/11/2021  10:56:45,772039;9,396416E-1;1,044459E+1;4,311971E-3;9,612769E-1
19/11/2021  10:56:45,772659;9,366762E-1;1,044459E+1;3,048243E-3;9,577698E-1
19/11/2021  10:56:45,773279;9,354989E-1;1,044459E+1;3,680107E-3;9,537900E-1
19/11/2021  10:56:45,773899;9,311388E-1;1,044459E+1;3,680107E-3;9,496070E-1
19/11/2021  10:56:45,774519;9,253480E-1;1,044459E+1;3,680107E-3;9,454246E-1
19/11/2021  10:56:45,775139;9,239562E-1;1,044459E+1;9,998747E-3;9,413378E-1
19/11/2021  10:56:45,775759;9,193934E-1;1,044459E+1;4,311971E-3;9,373835E-1
19/11/2021  10:56:45,776379;9,198822E-1;1,044459E+1;3,996039E-3;9,335973E-1
19/11/2021  10:56:45,776999;9,215541E-1;1,044459E+1;5,259767E-3;9,300588E-1
19/11/2021  10:56:45,777619;9,246030E-1;1,044459E+1;4,311971E-3;9,269299E-1
19/11/2021  10:56:45,778239;9,284893E-1;1,044459E+1;2,416379E-3;9,244329E-1
19/11/2021  10:56:45,778859;9,320299E-1;1,044459E+1;2,416379E-3;9,227881E-1
19/11/2021  10:56:45,779479;9,392839E-1;1,044459E+1;1,442179E-2;9,221717E-1
19/11/2021  10:56:45,780099;9,400171E-1;1,044459E+1;1,726518E-2;9,226867E-1
19/11/2021  10:56:45,780719;9,415668E-1;1,044459E+1;1,726518E-2;9,242948E-1
19/11/2021  10:56:45,781339;9,426755E-1;1,044459E+1;1,947671E-2;9,267837E-1
19/11/2021  10:56:45,781959;9,414536E-1;1,044459E+1;1,821298E-2;9,298247E-1
19/11/2021  10:56:45,782579;9,417456E-1;1,044459E+1;2,074043E-2;9,330450E-1
19/11/2021  10:56:45,783199;9,386014E-1;1,044459E+1;1,600145E-2;9,360814E-1
19/11/2021  10:56:45,783819;9,414625E-1;1,044459E+1;1,568552E-2;9,386414E-1
19/11/2021  10:56:45,784439;9,416533E-1;1,044459E+1;4,032822E-2;9,405734E-1
19/11/2021  10:56:45,785059;9,411347E-1;1,044459E+1;1,325804E-1;9,418759E-1
19/11/2021  10:56:45,785679;9,436590E-1;1,044459E+1;1,272095E-1;9,426361E-1
19/11/2021  10:56:45,786299;9,416443E-1;1,044459E+1;1,136244E-1;9,429869E-1
19/11/2021  10:56:45,786919;9,442580E-1;1,044459E+1;1,278414E-1;9,430709E-1
19/11/2021  10:56:45,787539;9,435428E-1;1,044459E+1;1,142563E-1;9,430190E-1
19/11/2021  10:56:45,788159;9,407145E-1;1,044459E+1;1,947671E-2;9,429231E-1
19/11/2021  10:56:45,788779;9,387624E-1;1,044459E+1;1,789705E-2;9,427861E-1
19/11/2021  10:56:45,789399;9,333799E-1;1,044459E+1;1,789705E-2;9,425165E-1
19/11/2021  10:56:45,790019;9,315947E-1;1,044459E+1;9,682815E-3;9,419708E-1
19/11/2021  10:56:45,790639;9,317914E-1;1,044459E+1;2,579535E-2;9,410381E-1
