waveform	Bridge	FTC1	FTC2	Bridge (Filtered)
t0	19/11/2021  10:56:53,812514	19/11/2021  10:56:53,812514	19/11/2021  10:56:53,812514	19/11/2021  10:56:53,812514
delta t	0,000620	0,000620	0,000620	0,000620

time	Bridge	FTC1	FTC2	Bridge (Filtered)
19/11/2021  10:56:53,812514	9,528473E-1	1,649653E-1	1,562753E-1	4,942968E-3
19/11/2021  10:56:53,813134	9,475155E-1	1,636910E-1	1,613302E-1	3,074404E-2
19/11/2021  10:56:53,813754	9,383123E-1	1,241871E-1	9,814378E-2	9,434034E-2
19/11/2021  10:56:53,814374	9,349595E-1	1,589123E-1	1,477451E-1	1,983566E-1
19/11/2021  10:56:53,814994	9,349774E-1	8,542518E-3	1,063061E-2	3,317871E-1
19/11/2021  10:56:53,815614	9,339283E-1	1,140974E-2	1,284213E-2	4,783882E-1
19/11/2021  10:56:53,816234	9,327988E-1	4,719558E-3	6,207563E-3	6,221246E-1
19/11/2021  10:56:53,816854	9,293387E-1	1,215178E-3	3,680107E-3	7,502031E-1
19/11/2021  10:56:53,817474	9,295860E-1	2,808078E-3	4,627903E-3	8,543620E-1
19/11/2021  10:56:53,818094	9,250947E-1	1,852338E-3	3,996039E-3	9,309640E-1
19/11/2021  10:56:53,818714	9,227701E-1	8,965980E-4	3,364175E-3	9,802986E-1
19/11/2021  10:56:53,819334	9,226985E-1	1,427696E-2	1,821298E-2	1,005516E+0
19/11/2021  10:56:53,819954	9,202309E-1	1,598680E-1	1,651214E-1	1,011507E+0
19/11/2021  10:56:53,820574	9,198583E-1	1,748413E-1	1,407946E-1	1,003847E+0
19/11/2021  10:56:53,821194	9,227105E-1	1,251428E-1	1,237343E-1	9,879586E-1
19/11/2021  10:56:53,821814	9,285876E-1	1,713369E-1	1,704922E-1	9,685921E-1
19/11/2021  10:56:53,822434	9,308109E-1	1,436204E-1	1,689125E-1	9,495246E-1
19/11/2021  10:56:53,823054	9,319405E-1	1,369303E-1	1,531159E-1	9,333618E-1
19/11/2021  10:56:53,823674	9,368639E-1	1,130368E-1	1,199431E-1	9,215211E-1
19/11/2021  10:56:53,824294	9,419841E-1	7,066562E-2	1,047783E-1	9,144537E-1
19/11/2021  10:56:53,824914	9,465320E-1	4,900218E-2	5,991600E-2	9,119395E-1
19/11/2021  10:56:53,825534	9,461207E-1	-2,012968E-2	6,839427E-3	9,132931E-1
19/11/2021  10:56:53,826154	9,453160E-1	1,232313E-1	1,170997E-1	9,174985E-1
19/11/2021  10:56:53,826774	9,418142E-1	1,031608E-1	1,063580E-1	9,233635E-1
19/11/2021  10:56:53,827394	9,386074E-1	1,296029E-1	1,123607E-1	9,296998E-1
19/11/2021  10:56:53,828014	9,371977E-1	1,528593E-1	1,398468E-1	9,354968E-1
19/11/2021  10:56:53,828634	9,369623E-1	1,181340E-1	1,360556E-1	9,400638E-1
19/11/2021  10:56:53,829254	9,334813E-1	1,133553E-1	1,205749E-1	9,430688E-1
19/11/2021  10:56:53,829874	9,323279E-1	1,229127E-1	1,351078E-1	9,444605E-1
19/11/2021  10:56:53,830494	9,331654E-1	1,624167E-1	1,467973E-1	9,443948E-1
19/11/2021  10:56:53,831114	9,318898E-1	1,149482E-1	9,024547E-2	9,431923E-1
19/11/2021  10:56:53,831734	9,261199E-1	1,267357E-1	1,313166E-1	9,412219E-1
19/11/2021  10:56:53,832354	9,215958E-1	1,321516E-1	1,388990E-1	9,387509E-1
19/11/2021  10:56:53,832974	9,197421E-1	1,611423E-1	1,644895E-1	9,359221E-1
19/11/2021  10:56:53,833594	9,171194E-1	1,187712E-1	1,395309E-1	9,328431E-1
19/11/2021  10:56:53,834214	9,172148E-1	1,404346E-1	1,764949E-1	9,296459E-1
19/11/2021  10:56:53,834834	9,174055E-1	8,965980E-4	3,364175E-3	9,264976E-1
19/11/2021  10:56:53,835454	9,176112E-1	6,312458E-3	7,471291E-3	9,235878E-1
19/11/2021  10:56:53,836074	9,208537E-1	1,852338E-3	3,680107E-3	9,211023E-1
19/11/2021  10:56:53,836694	9,246626E-1	1,215178E-3	2,732311E-3	9,192227E-1
19/11/2021  10:56:53,837314	9,301046E-1	6,312458E-3	8,103155E-3	9,181343E-1
19/11/2021  10:56:53,837934	9,319405E-1	5,780180E-4	2,732311E-3	9,179870E-1
19/11/2021  10:56:53,838554	9,336422E-1	5,780180E-4	4,627903E-3	9,188188E-1
19/11/2021  10:56:53,839174	9,387773E-1	6,312458E-3	5,259767E-3	9,205368E-1
19/11/2021  10:56:53,839794	9,424460E-1	8,340882E-2	9,435259E-2	9,229942E-1
19/11/2021  10:56:53,840414	9,473784E-1	2,159381E-1	2,020854E-1	9,260532E-1
19/11/2021  10:56:53,841034	9,507193E-1	1,044459E+1	6,839427E-3	9,295878E-1
19/11/2021  10:56:53,841654	9,541407E-1	1,044459E+1	1,852891E-2	9,334690E-1
19/11/2021  10:56:53,842274	9,586797E-1	1,044459E+1	9,682815E-3	9,375657E-1
19/11/2021  10:56:53,842894	9,640144E-1	1,044459E+1	1,852891E-2	9,417759E-1
19/11/2021  10:56:53,843514	9,672272E-1	1,044459E+1	2,042450E-2	9,460449E-1
19/11/2021  10:56:53,844134	9,658235E-1	1,044459E+1	1,161519E-1	9,503088E-1
19/11/2021  10:56:53,844754	9,651172E-1	1,044459E+1	2,456840E-1	9,544145E-1
19/11/2021  10:56:53,845374	9,629505E-1	1,044459E+1	1,480610E-1	9,581244E-1
19/11/2021  10:56:53,845994	9,616838E-1	1,044459E+1	1,148882E-1	9,611925E-1
19/11/2021  10:56:53,846614	9,595202E-1	1,044459E+1	1,205749E-1	9,634326E-1
19/11/2021  10:56:53,847234	9,578065E-1	1,044459E+1	2,580054E-1	9,647501E-1
19/11/2021  10:56:53,847854	9,577677E-1	1,044459E+1	6,023194E-2	9,651552E-1
19/11/2021  10:56:53,848474	9,559170E-1	1,044459E+1	1,663332E-2	9,647605E-1
19/11/2021  10:56:53,849094	9,525045E-1	1,044459E+1	1,663332E-2	9,637294E-1
19/11/2021  10:56:53,849714	9,516015E-1	1,044459E+1	1,252620E-2	9,622132E-1
19/11/2021  10:56:53,850334	9,461893E-1	1,044459E+1	7,155359E-3	9,603311E-1
19/11/2021  10:56:53,850954	9,430689E-1	1,044459E+1	1,947671E-2	9,581527E-1
19/11/2021  10:56:53,851574	9,411496E-1	1,044459E+1	1,726518E-2	9,557090E-1
19/11/2021  10:56:53,852194	9,351860E-1	1,044459E+1	2,732311E-3	9,530284E-1
19/11/2021  10:56:53,852814	9,303371E-1	1,044459E+1	3,680107E-3	9,501161E-1
19/11/2021  10:56:53,853434	9,242066E-1	1,044459E+1	3,680107E-3	9,469290E-1
19/11/2021  10:56:53,854054	9,220816E-1	1,044459E+1	1,252620E-2	9,434193E-1
19/11/2021  10:56:53,854674	9,200818E-1	1,044459E+1	7,155359E-3	9,396077E-1
19/11/2021  10:56:53,855294	9,150451E-1	1,044459E+1	1,378993E-2	9,355972E-1
19/11/2021  10:56:53,855914	9,133821E-1	1,044459E+1	1,157841E-2	9,315096E-1
19/11/2021  10:56:53,856534	9,106909E-1	1,044459E+1	3,996039E-3	9,274562E-1
19/11/2021  10:56:53,857154	9,121155E-1	1,044459E+1	3,048243E-3	9,235632E-1
19/11/2021  10:56:53,857774	9,143626E-1	1,044459E+1	3,048243E-3	9,200025E-1
19/11/2021  10:56:53,858394	9,183264E-1	1,044459E+1	3,996039E-3	9,170011E-1
19/11/2021  10:56:53,859014	9,258964E-1	1,044459E+1	1,694925E-2	9,148245E-1
19/11/2021  10:56:53,859634	9,309361E-1	1,044459E+1	1,568552E-2	9,137451E-1
19/11/2021  10:56:53,860254	9,391766E-1	1,044459E+1	1,726518E-2	9,139836E-1
19/11/2021  10:56:53,860874	9,458257E-1	1,044459E+1	9,998747E-3	9,156612E-1
19/11/2021  10:56:53,861494	9,509995E-1	1,044459E+1	1,536959E-2	9,187757E-1
19/11/2021  10:56:53,862114	9,549365E-1	1,044459E+1	1,221027E-2	9,231713E-1
19/11/2021  10:56:53,862734	9,567932E-1	1,044459E+1	1,916077E-2	9,285377E-1
19/11/2021  10:56:53,863354	9,621875E-1	1,044459E+1	1,378993E-2	9,344712E-1
19/11/2021  10:56:53,863974	9,656119E-1	1,044459E+1	1,126766E-1	9,405851E-1
19/11/2021  10:56:53,864594	9,682405E-1	1,044459E+1	-2,638533E-3	9,465751E-1
19/11/2021  10:56:53,865214	9,714563E-1	1,044459E+1	9,466852E-2	9,522164E-1
19/11/2021  10:56:53,865834	9,667146E-1	1,044459E+1	1,502726E-1	9,573223E-1
19/11/2021  10:56:53,866454	9,666669E-1	1,044459E+1	1,104651E-1	9,616870E-1
19/11/2021  10:56:53,867074	9,623514E-1	1,044459E+1	1,335282E-1	9,650955E-1
19/11/2021  10:56:53,867694	9,585784E-1	1,044459E+1	3,748483E-2	9,673777E-1
19/11/2021  10:56:53,868314	9,558723E-1	1,044459E+1	1,063061E-2	9,684344E-1
19/11/2021  10:56:53,868934	9,469373E-1	1,044459E+1	1,189434E-2	9,682394E-1
19/11/2021  10:56:53,869554	9,402883E-1	1,044459E+1	1,126247E-2	9,667910E-1
19/11/2021  10:56:53,870174	9,322146E-1	1,044459E+1	2,453162E-2	9,640876E-1
19/11/2021  10:56:53,870794	9,240427E-1	1,044459E+1	1,094654E-2	9,601608E-1
19/11/2021  10:56:53,871414	9,175844E-1	1,044459E+1	4,311971E-3	9,550992E-1
19/11/2021  10:56:53,872034	9,100531E-1	1,044459E+1	3,680107E-3	9,490598E-1
19/11/2021  10:56:53,872654	9,077106E-1	1,044459E+1	3,048243E-3	9,422781E-1
19/11/2021  10:56:53,873274	9,074126E-1	1,044459E+1	3,996039E-3	9,350949E-1
19/11/2021  10:56:53,873894	9,068106E-1	1,044459E+1	4,311971E-3	9,279570E-1
19/11/2021  10:56:53,874514	9,094422E-1	1,044459E+1	3,996039E-3	9,213432E-1
19/11/2021  10:56:53,875134	9,092395E-1	1,044459E+1	5,259767E-3	9,156763E-1
19/11/2021  10:56:53,875754	9,134537E-1	1,044459E+1	7,155359E-3	9,112615E-1
19/11/2021  10:56:53,876374	9,194172E-1	1,044459E+1	3,996039E-3	9,082907E-1
19/11/2021  10:56:53,876994	9,238996E-1	1,044459E+1	3,364175E-3	9,068819E-1
19/11/2021  10:56:53,877614	9,257951E-1	1,044459E+1	3,996039E-3	9,070453E-1
19/11/2021  10:56:53,878234	9,293238E-1	1,044459E+1	9,366883E-3	9,086292E-1
19/11/2021  10:56:53,878854	9,358655E-1	1,044459E+1	8,419087E-3	9,113709E-1
19/11/2021  10:56:53,879474	9,384614E-1	1,044459E+1	2,732311E-3	9,149972E-1
19/11/2021  10:56:53,880094	9,411168E-1	1,044459E+1	1,726518E-2	9,192395E-1
19/11/2021  10:56:53,880714	9,473158E-1	1,044459E+1	1,442179E-2	9,238300E-1
19/11/2021  10:56:53,881334	9,510948E-1	1,044459E+1	1,852891E-2	9,285609E-1
19/11/2021  10:56:53,881954	9,559378E-1	1,044459E+1	1,884484E-2	9,333086E-1
19/11/2021  10:56:53,882574	9,579793E-1	1,044459E+1	1,442179E-2	9,379934E-1
19/11/2021  10:56:53,883194	9,617107E-1	1,044459E+1	1,568552E-2	9,425424E-1
19/11/2021  10:56:53,883814	9,628134E-1	1,044459E+1	1,158360E-1	9,468801E-1
19/11/2021  10:56:53,884434	9,646463E-1	1,044459E+1	1,493248E-1	9,509274E-1
19/11/2021  10:56:53,885054	9,706069E-1	1,044459E+1	1,044624E-1	9,546312E-1
19/11/2021  10:56:53,885674	9,710360E-1	1,044459E+1	1,050943E-1	9,580079E-1
19/11/2021  10:56:53,886294	9,722580E-1	1,044459E+1	1,294210E-1	9,611023E-1
19/11/2021  10:56:53,886914	9,750237E-1	1,044459E+1	1,458495E-1	9,639308E-1
19/11/2021  10:56:53,887534	9,756436E-1	1,044459E+1	1,534319E-1	9,665014E-1
19/11/2021  10:56:53,888154	9,734352E-1	1,044459E+1	6,307532E-2	9,688077E-1
19/11/2021  10:56:53,888774	9,681690E-1	1,044459E+1	2,200416E-2	9,707633E-1
19/11/2021  10:56:53,889394	9,630041E-1	1,044459E+1	2,105637E-2	9,721743E-1
19/11/2021  10:56:53,890014	9,607361E-1	1,044459E+1	1,821298E-2	9,728113E-1
19/11/2021  10:56:53,890634	9,526625E-1	1,044459E+1	6,207563E-3	9,725051E-1
19/11/2021  10:56:53,891254	9,474410E-1	1,044459E+1	1,536959E-2	9,711552E-1
19/11/2021  10:56:53,891874	9,430868E-1	1,044459E+1	1,031468E-2	9,687282E-1
19/11/2021  10:56:53,892494	9,373944E-1	1,044459E+1	2,732311E-3	9,652936E-1
19/11/2021  10:56:53,893114	9,326408E-1	1,044459E+1	3,364175E-3	9,610085E-1
19/11/2021  10:56:53,893734	9,273359E-1	1,044459E+1	1,315807E-2	9,560711E-1
19/11/2021  10:56:53,894354	9,207017E-1	1,044459E+1	1,094654E-2	9,506799E-1
19/11/2021  10:56:53,894974	9,140825E-1	1,044459E+1	6,207563E-3	9,449906E-1
19/11/2021  10:56:53,895594	9,091710E-1	1,044459E+1	1,063061E-2	9,391075E-1
19/11/2021  10:56:53,896214	9,050880E-1	1,044459E+1	7,155359E-3	9,331242E-1
19/11/2021  10:56:53,896834	8,993956E-1	1,044459E+1	4,943835E-3	9,271468E-1
19/11/2021  10:56:53,897454	8,954616E-1	1,044459E+1	3,680107E-3	9,212727E-1
19/11/2021  10:56:53,898074	8,963080E-1	1,044459E+1	3,364175E-3	9,156039E-1
19/11/2021  10:56:53,898694	8,979501E-1	1,044459E+1	4,943835E-3	9,103143E-1
19/11/2021  10:56:53,899314	9,009334E-1	1,044459E+1	1,884484E-2	9,056647E-1
19/11/2021  10:56:53,899934	9,035293E-1	1,044459E+1	1,600145E-2	9,019355E-1
19/11/2021  10:56:53,900554	9,102558E-1	1,044459E+1	1,852891E-2	8,993653E-1
19/11/2021  10:56:53,901174	9,173787E-1	1,044459E+1	2,200416E-2	8,981472E-1
19/11/2021  10:56:53,901794	9,254583E-1	1,044459E+1	1,347400E-2	8,984348E-1
19/11/2021  10:56:53,902414	9,328375E-1	1,044459E+1	1,852891E-2	9,003102E-1
19/11/2021  10:56:53,903034	9,373467E-1	1,044459E+1	1,600145E-2	9,037330E-1
19/11/2021  10:56:53,903654	9,418857E-1	1,044459E+1	1,378993E-2	9,084999E-1
