waveform	Bridge	FTC1	FTC2	Bridge (Filtered)
t0	19/11/2021  12:08:59,201782	19/11/2021  12:08:59,201782	19/11/2021  12:08:59,201782	19/11/2021  12:08:59,201782
delta t	0,000620	0,000620	0,000620	0,000620

time	Bridge	FTC1	FTC2	Bridge (Filtered)
19/11/2021  12:08:59,201782	9,383988E-1	1,512664E-1	2,084040E-1	4,868015E-3
19/11/2021  12:08:59,202402	9,349506E-1	1,136739E-1	1,092014E-1	3,028721E-2
19/11/2021  12:08:59,203022	9,309570E-1	1,190898E-1	1,313166E-1	9,299433E-2
19/11/2021  12:08:59,203642	9,264656E-1	9,498258E-3	1,126247E-2	1,956853E-1
19/11/2021  12:08:59,204262	9,218551E-1	9,498258E-3	1,189434E-2	3,275737E-1
19/11/2021  12:08:59,204882	9,223797E-1	1,013542E-2	1,284213E-2	4,725665E-1
19/11/2021  12:08:59,205502	9,208865E-1	6,949618E-3	9,366883E-3	6,147211E-1
19/11/2021  12:08:59,206122	9,168542E-1	2,489498E-3	5,259767E-3	7,413392E-1
19/11/2021  12:08:59,206742	9,196110E-1	2,170918E-3	4,943835E-3	8,442465E-1
19/11/2021  12:08:59,207362	9,209551E-1	1,140974E-2	1,442179E-2	9,199165E-1
19/11/2021  12:08:59,207982	9,265551E-1	1,139925E-1	1,480610E-1	9,688355E-1
19/11/2021  12:08:59,208602	9,330402E-1	7,894870E-2	1,136244E-1	9,944237E-1
19/11/2021  12:08:59,209222	9,347390E-1	3,084312E-2	8,613836E-2	1,001808E+0
19/11/2021  12:08:59,209842	9,410870E-1	-1,184660E-2	-1,243243E-2	9,966637E-1
19/11/2021  12:08:59,210462	9,436173E-1	1,331073E-1	1,496407E-1	9,843419E-1
19/11/2021  12:08:59,211082	9,498461E-1	8,277166E-2	1,079377E-1	9,693369E-1
19/11/2021  12:08:59,211702	9,542838E-1	-1,010490E-1	-1,243243E-2	9,550242E-1
19/11/2021  12:08:59,212322	9,543195E-1	1,044459E+1	2,071403E-1	9,435864E-1
19/11/2021  12:08:59,212942	9,558603E-1	1,044459E+1	2,074562E-1	9,360593E-1
19/11/2021  12:08:59,213562	9,555176E-1	1,044459E+1	8,203124E-2	9,325323E-1
19/11/2021  12:08:59,214182	9,550706E-1	1,044459E+1	9,308886E-2	9,324508E-1
19/11/2021  12:08:59,214802	9,524658E-1	1,044459E+1	-6,113785E-3	9,348937E-1
19/11/2021  12:08:59,215422	9,478433E-1	1,044459E+1	8,234717E-2	9,387873E-1
19/11/2021  12:08:59,216042	9,431076E-1	1,044459E+1	4,253974E-2	9,430656E-1
19/11/2021  12:08:59,216662	9,379994E-1	1,044459E+1	-1,464395E-2	9,468057E-1
19/11/2021  12:08:59,217282	9,376298E-1	1,044459E+1	2,416379E-3	9,493541E-1
19/11/2021  12:08:59,217902	9,378057E-1	1,044459E+1	1,916077E-2	9,504239E-1
19/11/2021  12:08:59,218522	9,343396E-1	1,044459E+1	3,048243E-3	9,500726E-1
19/11/2021  12:08:59,219142	9,350489E-1	1,044459E+1	2,416379E-3	9,485609E-1
19/11/2021  12:08:59,219762	9,353112E-1	1,044459E+1	-4,270090E-4	9,462500E-1
19/11/2021  12:08:59,220382	9,393048E-1	1,044459E+1	2,100447E-3	9,435702E-1
19/11/2021  12:08:59,221002	9,391707E-1	1,044459E+1	3,680107E-3	9,409681E-1
